"","mDCs","Macrophages","Mast","Monocytes"
"2x9",0.460279860225414,0.000926237624096356,0.458727085803521,0.0800668163469683
"2x10",0.36261480304202,0.0281990682546832,0.475918872909863,0.133267255793434
"2x11",0.323675887341519,0,0.546846406087111,0.12947770657137
"2x12",0.390106888195733,0.0143572703730161,0.491732330459753,0.103803510971498
"2x13",0.441524921189866,0.0890693867680345,0.304624435738677,0.164781256303422
"2x14",0.374864954551306,0.0198429020668549,0.491075207727179,0.11421693565466
"2x15",0.433290348892213,0,0.496737518971273,0.0699721321365148
"2x16",0.297520238262092,0.0562838361312399,0.551841485741063,0.0943544398656044
"2x17",0.313212498130328,0.0251571512532613,0.620760484595707,0.0408698660207038
"2x18",0.321725499269625,0.0890614777151613,0.50579569805323,0.0834173249619835
"2x19",0.371409833045044,0.0295745134388345,0.483163799743597,0.115851853772524
"2x20",0.269037861710947,0.0428275963303274,0.606415535332107,0.0817190066266189
"2x21",0.360648909137553,0.0842071339404461,0.467109902769164,0.0880340541528366
"2x22",0.325072799232016,0.0869205956744267,0.518152516345905,0.0698540887476529
"2x23",0.359369301682272,0.0622400597975391,0.470838773487931,0.107551865032258
"2x24",0.441278683475959,0.0100691262702379,0.453947492388797,0.094704697865006
"2x25",0.426585431084609,0.0704281755227248,0.459354885039655,0.0436315083530109
"2x26",0.456437023929361,0.0302916475920199,0.417929119349394,0.0953422091292255
"2x27",0.306825579818758,0.12216774411888,0.496845444206535,0.0741612318558264
"2x28",0.25426094645022,0.111366411289233,0.533026128367122,0.101346513893425
"2x29",0.39252696013367,0.0616746853711443,0.465026855183136,0.0807714993120504
"2x30",0.411213618009667,0.0604072753312679,0.380101189901501,0.148277916757563
"2x31",0.382026211451031,0.0216457337503013,0.468110065461368,0.1282179893373
"2x32",0.389432214041707,0.0882869239710337,0.407627801361702,0.114653060625558
"2x33",0.392968040984461,0.123396168317949,0.414813421318748,0.0688223693788425
"2x34",0.561003891319153,0.000139582407061593,0.348901785232026,0.0899547410417601
"2x35",0.403565122117526,0.0346021200056134,0.455992214399698,0.105840543477163
"2x36",0.471728643742206,0.0552958487891862,0.435667900870483,0.0373076065981248
"2x37",0.343185971490107,0.0650080399729547,0.468655220876348,0.12315076766059
"2x38",0.472524553639169,0.0981444886802535,0.338038831921966,0.0912921257586113
