,r,reference,method
10x10,0.9965826568690161,Internal,stsc
10x11,0.9812178988823619,Internal,stsc
10x12,1.0,Internal,stsc
10x13,1.0,Internal,stsc
10x14,1.0,Internal,stsc
10x15,1.0,Internal,stsc
10x16,0.9999999999999999,Internal,stsc
10x17,1.0,Internal,stsc
10x18,1.0,Internal,stsc
10x19,0.9999999999999999,Internal,stsc
10x20,0.876652500986698,Internal,stsc
10x21,0.9335615914557532,Internal,stsc
10x22,0.9601803696868629,Internal,stsc
10x23,0.9405720769141126,Internal,stsc
10x24,0.9037315766815759,Internal,stsc
10x25,0.8947408941784073,Internal,stsc
10x26,0.7483876821013373,Internal,stsc
10x27,0.8222802243926801,Internal,stsc
10x28,0.7499892549754988,Internal,stsc
10x29,0.6294389773341938,Internal,stsc
10x30,0.8409082469408435,Internal,stsc
10x31,0.5966184593224483,Internal,stsc
10x32,0.8490023628826905,Internal,stsc
10x33,0.7403319977882875,Internal,stsc
10x34,0.8173059109208256,Internal,stsc
10x35,0.9948623304681347,Internal,stsc
10x36,0.9344659376087501,Internal,stsc
10x37,0.29137234704136633,Internal,stsc
10x38,0.9544991980754893,Internal,stsc
10x39,0.7746441997332905,Internal,stsc
10x40,0.7565396542159877,Internal,stsc
10x41,0.8087027394183353,Internal,stsc
10x42,0.6565792547803824,Internal,stsc
10x43,0.5428408047294657,Internal,stsc
10x44,0.8983593256527176,Internal,stsc
10x45,0.6959096626295748,Internal,stsc
10x46,0.8028217057323852,Internal,stsc
10x47,0.8586177871605212,Internal,stsc
10x48,0.7555777270208477,Internal,stsc
10x49,0.7931255092380849,Internal,stsc
11x0,0.9779874256000589,Internal,stsc
11x1,0.9326143799023858,Internal,stsc
11x2,1.0,Internal,stsc
11x3,0.9999999999999999,Internal,stsc
11x4,1.0,Internal,stsc
11x5,1.0,Internal,stsc
11x6,1.0,Internal,stsc
11x7,0.996058293673165,Internal,stsc
11x8,1.0,Internal,stsc
11x9,1.0,Internal,stsc
11x10,1.0,Internal,stsc
11x11,1.0,Internal,stsc
11x12,1.0,Internal,stsc
11x13,1.0,Internal,stsc
11x14,0.9999134447942551,Internal,stsc
11x15,1.0,Internal,stsc
11x16,0.9999999999999999,Internal,stsc
11x17,0.9087041792100742,Internal,stsc
11x18,1.0,Internal,stsc
11x19,0.9925257852227379,Internal,stsc
11x20,0.8954724219529508,Internal,stsc
11x21,0.912707140215903,Internal,stsc
11x22,0.9554807567296468,Internal,stsc
11x23,0.9360920848642293,Internal,stsc
11x24,0.8318800062843246,Internal,stsc
