Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
49x45,0,0.0795904826594408,0.0316938919428801,0.00936054382543507,0.0992640235729705,0,0,0.0957551969345672,0.00435101739841838,0.031892222376891,0,0.0151555320355359,0,0,0.036736965126588,0.00679562263559879,0.483990602816841,0,0.0395748082839935,0.0564734560536873,0,0.00936563433715251,0,0.0663416194870267,1.05136155405484
87x33,0.0447866428293876,0,0.00644141067820622,0,0,0.0464993783732236,0,0,0.0422953951177269,0,0.0216102171735562,0,0.0353781437326124,0,0.0139298655486886,0,0.339018867200228,0,0,0.395162018197449,0.054878061148921,0,0,0.0486661245661525,1.11133417836962
42x46,0,0.0192017705853995,0,0,0.00833802656488307,0.0131883165456328,0,0.0175214219825323,0,0,0,0.017954482212485,0.102369624526545,0,0.0458956065144043,0,0.473403299258782,0,0,0.300608279305451,0.00151917250388483,0,0,0.208002923460036,1.02321282933329
89x41,0.064536616479306,0.0251848886469847,0,0.00425005967282724,0,0.148639796316929,0.00155217570189289,0.0135309918499558,0.00631563934645457,0.096303082078244,0.0639207121884484,0,0,0.095104873049407,0.0637143130823523,0,0.128495948320667,0,0,0.27456309280137,0.013164718575719,0.00072309188944285,0,0.136230241184683,1.04976392876985
9x47,0.170683799729608,0,0,0,0,0.15127980731679,0.0748354522813817,0.0396324086434163,0,0,0.15675877168416,0,0.12304262429869,0.0138390527137994,0.0146771409517894,0,0.165875569397059,0.00767856065732186,0.00350174229060475,0.0781950700353788,0,0,0,0.0646415403424386,1.05309227290417
7x35,0.143965202375295,0,0.339246073253578,0.00945743016049615,0,0.208573973816993,0,0.0033531784126044,0,0.0312809592473494,0,0,0,0,0.0158719664445931,0.0613591915927902,0.0163303982081849,0.0638147401824957,0,0.0306171386738819,0.00634662945479915,0.0697831181769394,0,0.633166973199505,0.776376849887228
44x40,0.0153530746535156,0,0.0149701224766804,0,0,0.216135863520019,0,0.0832299243348568,0,0.0596873022348745,0,0.131408749607688,0,0,0.0400958663702685,0.169298198379127,0,0.0459636180318221,0.152081745121807,0,0,0.0717755352693424,0,-0.000247640024852527,1.094806701872
25x51,0,0.0993154567857376,0,0,0.0156802284682253,0.010659950004864,0,0,0,0,0.0294300768634685,0,0.0516958380819419,0,0.106262502545018,0,0.658211971254147,0,0,0.0287439759965981,0,0,0,0.177783070611255,1.02913188394512
8x24,0,0.255818254274396,0.0101588391852978,0.0590785006914156,0.172626122396245,0,0.0757372222478856,0,0,0.0149229027667631,0,0,0,0.0831461636972206,0.0295692576931183,0.0149823090134249,0.100967787865363,0.0400881181340201,0.098807137150597,0,0.043305777572204,0.000791607312048829,0,0.0623353212659057,1.05660837518041
8x20,0,0.180284838523526,0.0582830408572057,0.139451523097751,0.117884204944999,0,0,0,0.0151057932141366,0,0.0694967662395048,0,0.0171707189526145,0,0.00801872387131197,0.084383711872632,0.0753756411162272,0.0747486107396721,0,0.0874595870748253,0.0555945222287269,0.0167423172668677,0,-0.0287263464139412,1.09426010841238
50x30,0,0.162925604945368,0.0200787165125614,0,0.0931437578918356,0,0,0.043517727931663,0,0,0.0653502235169819,0,0,0,0.0512609433277226,0,0.456115144831148,0,0,0.0809062712781111,0,0.0267016097646084,0,0.211306246603112,0.995076965990972
65x43,0,0.107856544904432,0.00603636962497736,0.0176171787182848,0,0.0778170357851251,0,0,0,0,0.028092272616388,0,0.0969214777758129,0.00424857108028365,0.323692103854815,0,0.318052651543594,0,0,0,0.0196657940962873,0,0,0.284585905607921,1.01330890412493
63x65,0,0.271606290445544,0.0378899981115155,0.155836168593894,0.0109358834321615,0,0,0.0162387360763716,0.0827143808712988,0,0.0245432407834586,0,0.0136909043211153,0.0105985201312274,0.0317089940469805,0,0.1296934914069,0.00918827880060332,0.0627564966434542,0.0220707829016903,0.106109341800709,0.0144184916330765,0,0.0279737430545023,1.07791499161711
74x58,0.00138808407272282,0.0753975968402357,0.0279373146703841,0.00263021866024249,0,0.177861496171183,0.059817158001091,0,0,0,0.16271016440072,0,0.0509142528703494,0,0.0520795418413387,0,0.243976445695496,0,0,0.111650934102247,0,0.0336367926739893,0,0.0798874772216977,1.04653838604943
31x47,0,0.326974884009547,0.0704338627584947,0.0927428725646178,0.142331261896242,0,0,0.00914732631835,0,0,0,0,0,0,0.0158234990163921,0.185740607318661,0,0,0,0.0792057308088704,0.00992245690757354,0.0676774984012518,0,0.191073689627939,1.02414332401014
61x47,0,0.118536400520677,0.113577444021854,0.0586729925799407,0.149117329505886,0,0.157188528127123,0,0,0,0.0452176558470356,0.0293926240407096,0.106287799202081,0.0069299779680522,0.0412752059889554,0,0,0.0667561011957124,0.0944774640265077,0,0.00937282433181238,0.00319765264365373,0,0.0200156024631573,1.07313275833811
50x34,0.132569452186081,0,0.0346203658198375,0.0713196105250005,0.0747407502965201,0,0.0482575776451006,0.0666894134274231,0.0248754434047573,0.0684081297348101,0,0.119872132602376,0,0.0630603914031774,0.0639190410174179,0.0586066807080807,0.00220542104950232,0.0327289452024369,0.0491960095458246,0,0.0219765079343012,0.066954127497353,0,0.0573179487009282,1.07895384707115
28x38,0,0.309720055403461,0.0231930627596461,0.0805968727873137,0.079181703043532,0,0.116136185212504,0,0,0.0345276553563765,0,0.00709392195659071,0,0.0245521438137019,0.0382795062455841,0.100780634536746,0.00586056279073774,0.0594512523077702,0.0100638528138431,0,0.0367950988989647,0.0737674920732275,0,0.0284598290904037,1.0813746005212
81x35,0,0.0688161014862486,0.0265194450986408,0.0133232586398047,0,0.168745850650887,0,0,0.015782526311544,0,0.0839846972857552,0.165130882474375,0.136290938637947,0,0.00926373708010476,0,0.259791628180218,0,0,0.0325241709932374,0.0153071854302034,0.0045195777310335,0,-0.0204435525462074,1.11442387899134
75x25,0,0.365624150332721,0,0.0214193368080764,0.0717846771499824,0,0.0147298084675769,0,0,0,0.0754033243804724,0,0.103927106365687,0.0586576360354269,0.139886939085103,0.056933636737373,0.0528052426165173,0,0,0.0388281420210641,0,0,0,0.0552544610103769,1.08596234418875
