"","cell_ID","Cancer","Ductal","Stroma"
"1864","37x13",0.175688351111368,0.627198841587562,0.19711280730107
"1865","37x14",0.132561995758301,0.612690523313977,0.254747480927722
"1866","37x15",0.220734781924097,0.779265218075903,0
"1867","37x16",0,0.828997832617168,0.171002167382831
"1868","37x17",0.140397984652507,0.695146556323738,0.164455459023755
"1869","37x18",0,1,0
"1870","37x19",0,1,0
"1871","37x20",0,1,0
"1872","37x21",0,1,0
"1873","37x22",0,1,0
"1874","37x23",0,1,0
"1875","37x24",0,1,0
"1876","37x25",0,1,0
"1877","37x26",0,1,0
"1878","37x27",0,1,0
"1879","37x28",0,1,0
"1880","37x29",0,1,0
"1881","37x30",0,1,0
"1882","37x31",0,1,0
"1883","37x32",0,1,0
"1884","37x33",0,1,0
"1885","37x34",0.131811345093407,0.868188654906593,0
"1886","37x35",0,1,0
"1887","37x36",0,1,0
"1888","37x37",0,1,0
"1889","37x38",0,1,0
"1890","37x39",0,1,0
"1891","37x40",0,1,0
"1892","37x41",0,1,0
"1893","37x42",0,1,0
"1894","37x43",0,0.795673036571483,0.204326963428517
"1895","37x44",0,1,0
"1896","37x45",0,0.791346895443278,0.208653104556722
"1897","37x46",0,0.722545910271814,0.277454089728186
"1898","37x47",0,0.848432711513688,0.151567288486312
"1899","37x48",0,1,0
"1900","37x49",0,0.606782806553786,0.393217193446214
"1901","38x0",0.296956202282498,0.391970889096263,0.311072908621239
"1902","38x1",0.335912637766319,0.664087362233681,0
"1903","38x2",0.221264174001454,0.390625806916184,0.388110019082363
"1904","38x3",0.129156017278975,0.666559065977781,0.204284916743244
"1905","38x4",0.179578704499528,0.463989840159269,0.356431455341203
"1906","38x5",0.223226871953305,0.470116544380505,0.30665658366619
"1907","38x6",0,0.48432109060983,0.51567890939017
"1908","38x7",0.287457664470814,0.465426671933012,0.247115663596174
"1909","38x8",0,0.325838704495391,0.674161295504609
"1910","38x9",0.127438365489447,0.615078178927332,0.257483455583221
"1911","38x10",0.23869676272956,0.397982614052385,0.363320623218054
"1912","38x11",0.143312302436095,0.651028927457662,0.205658770106243
"1913","38x12",0,0.837285737952038,0.162714262047962
"1914","38x13",0.257896028304938,0.629769400804489,0.112334570890573
"1915","38x14",0,0.836621301841219,0.163378698158781
"1916","38x15",0,0.812229517307504,0.187770482692496
"1917","38x16",0.138298568007179,0.635675678494275,0.226025753498546
"1918","38x17",0,1,0
"1919","38x18",0,1,0
"1920","38x19",0,1,0
"1921","38x20",0,1,0
"1922","38x21",0,1,0
"1923","38x22",0,1,0
"1924","38x23",0,1,0
"1925","38x24",0,1,0
"1926","38x25",0.136583565671927,0.863416434328073,0
"1927","38x26",0,1,0
