"","cell_ID","Ductal","Cancer","Stroma"
"191","3x40",0.162721292601918,0.129457355257225,0.707821352140858
"192","3x41",0.275125365509428,0,0.724874634490572
"193","3x42",0.318056347563193,0.121723050469874,0.560220601966933
"194","3x43",0.156119680625957,0.16203418716403,0.681846132210013
"195","3x44",0.248431323128346,0.355379434013642,0.396189242858011
"196","3x45",0.230745210016827,0.321399286909509,0.447855503073664
"197","3x46",0,0.440425188845297,0.559574811154703
"198","3x47",0.391397944688726,0.169457580319434,0.439144474991841
"199","3x48",0.13380605049385,0.42527355104358,0.440920398462571
"200","3x49",0.335849023233227,0.11977207510719,0.544378901659582
"201","4x0",0.125966755496224,0.874033244503776,0
"202","4x1",0,0.712739218906514,0.287260781093486
"203","4x2",0.250075101026491,0.556857301718445,0.193067597255063
"204","4x3",0,1,0
"205","4x4",0,1,0
"206","4x5",0,1,0
"207","4x6",0,1,0
"208","4x7",0,1,0
"209","4x8",0,1,0
"210","4x9",0,1,0
"211","4x10",0,1,0
"212","4x11",0,1,0
"213","4x12",0,1,0
"214","4x13",0,1,0
"215","4x14",0,1,0
"216","4x15",0,1,0
"217","4x16",0,1,0
"218","4x17",0,1,0
"219","4x18",0,1,0
"220","4x19",0,0.741691337402449,0.258308662597551
"221","4x20",0,1,0
"222","4x21",0,0.750724682981901,0.249275317018099
"223","4x22",0.249890304308055,0.564940243943135,0.18516945174881
"224","4x23",0.121489756611429,0.426347775082773,0.452162468305798
"225","4x24",0,0.612670710116605,0.387329289883395
"226","4x25",0.194465822862813,0.446818737814639,0.358715439322548
"227","4x26",0,0.396654236271328,0.603345763728673
"228","4x27",0,0.538182029331685,0.461817970668315
"229","4x28",0.144326267506832,0.363146059598169,0.492527672895
"230","4x29",0,0.210797037608449,0.789202962391551
"231","4x30",0.10029986984994,0.323265913628475,0.576434216521585
"232","4x31",0.534951692894287,0,0.465048307105713
"233","4x32",0.174802530615874,0.173569884146381,0.651627585237744
"234","4x33",0.146193894699585,0.341010936432008,0.512795168868407
"235","4x34",0.199604207088266,0.1782646878348,0.622131105076934
"236","4x35",0.14710588376781,0.292392793041143,0.560501323191047
"237","4x36",0.100086573409373,0.204689092487047,0.695224334103579
"238","4x37",0,0.371850032158613,0.628149967841387
"239","4x38",0.420563363652356,0.252979817258787,0.326456819088857
"240","4x39",0.407253172300398,0.113357578656931,0.479389249042671
"241","4x40",0.125762095312066,0.130465136638832,0.743772768049102
"242","4x41",0.248601639244542,0.249027175453718,0.50237118530174
"243","4x42",0.146056865066216,0.247056987834178,0.606886147099606
"244","4x43",0,0.405080639861788,0.594919360138212
"245","4x44",0.152791740517609,0.11142832490431,0.735779934578081
"246","4x45",0.302418344002551,0.238714071531553,0.458867584465896
"247","4x46",0.25050301633949,0.159709421471385,0.589787562189125
"248","4x47",0.242074069083749,0.16106177046073,0.596864160455521
"249","4x48",0.248710454476785,0,0.751289545523215
