,in_tissue,array_row,array_col,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,region_ind,E,M,S,B cells memory,B cells naive,Dendritic cells activated,Dendritic cells resting,Eosinophils,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells activated,Mast cells resting,Monocytes,Neutrophils,NK cells activated,NK cells resting,Plasma cells,T cells CD4 memory activated,T cells CD4 memory resting,T cells regulatory (Tregs),T cells CD4 naive,T cells CD8,T cells follicular helper,T cells gamma delta,MixtureType
77x45,1,45,77,6054,8.708639655987193,33410.0,10.41664,27.71026638730919,40.90691409757557,50.21849745585154,61.67015863513918,490.0,6.196444,1.4666268,33410.0,0,0.00044173018792952496,0.9871114056560878,0.012446864155982732,0.3,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
72x52,1,52,72,1899,7.549609165154532,4226.0,8.349248,26.218646474207286,37.931850449597725,49.21911973497397,65.21533364884051,106.0,4.6728287,2.5082822,4226.0,1,0.0007520734645975631,0.486692779292312,0.5125551472430905,4.1,0.0,0.0,11.4,0.0,0.0,0.0,0.6,19.4,0.0,5.4,0.0,2.9,0.0,0.0,0.0,0.0,0.0,2.5,0.8,2.4,1.6,Stroma
80x58,1,58,80,1295,7.16703787691222,2473.0,7.8135915,25.47513141932875,37.32308936514355,49.57541447634452,67.85281035179943,78.0,4.3694477,3.154064,2473.0,1,0.0004269806044307042,0.0006098979267453853,0.9989631214688239,0.0,17.0,2.0,5.6,0.0,11.2,4.3,0.0,0.0,9.6,13.4,1.6,5.8,2.7,0.0,0.0,23.6,0.0,0.0,0.0,0.0,3.1,Stroma
30x64,1,64,30,7153,8.875426919818963,49437.0,10.808475,26.267775148168376,38.461071666970085,47.699091773368124,59.40692194105629,286.0,5.659482,0.57851404,49437.0,0,0.0030895861669192177,0.9849008193080384,0.01200959452504239,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,Pure Mes.
89x53,1,53,89,1818,7.506042178518122,3794.0,8.24144,24.59146020031629,36.10964681075382,46.7053241960991,64.12756984712703,76.0,4.3438053,2.0031629,3794.0,1,0.0005382348515143118,0.4774463946127565,0.5220153705357291,0.0,0.5,0.0,6.7,1.4,0.0,0.0,0.0,28.3,0.0,2.6,0.0,0.7,0.0,1.4,0.0,0.6,5.0,0.0,2.9,1.7,0.4,Stroma
93x49,1,49,93,2703,7.902487437162855,6997.0,8.853379,25.28226382735458,37.2445333714449,47.97770473059883,62.169501214806346,133.0,4.89784,1.9008147,6997.0,isolated,0.0006067551027083187,0.8024738836796934,0.1969193612175983,5.2,0.0,0.0,7.5,0.0,0.2,1.1,0.0,2.3,0.0,0.0,0.7,0.0,0.8,0.0,0.1,0.2,0.0,0.0,0.0,0.6,1.0,MS Mixture
23x61,1,61,23,5999,8.699514748210191,32376.0,10.385203,26.03162836669138,38.64591055102545,48.291944650358296,60.54484803558191,312.0,5.7462034,0.9636768,32376.0,0,0.0030741098678376097,0.9963310649038009,0.0005948252283616165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
83x29,1,29,83,6383,8.761550139129644,38267.0,10.552369,27.06248203412862,39.856795672511566,49.575352131079,61.32176548984765,467.0,6.1484685,1.2203726,38267.0,0,0.006262803226368709,0.9933693212671914,0.0003678755064398972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
31x27,1,27,31,1434,7.268920128193722,2369.0,7.770645,21.73913043478261,30.308146897425075,40.861122836639936,60.57408189109329,84.0,4.4426513,3.5457997,2369.0,1,0.4287593263843027,0.00017248668810073214,0.5710681869275966,2.8,3.7,0.0,0.0,0.0,20.5,3.3,4.1,0.0,1.2,0.0,1.4,0.0,8.7,0.0,0.0,0.0,3.2,0.0,2.4,5.9,0.0,Stroma
23x55,1,55,23,7455,8.916774356365426,57711.0,10.963221,26.04876020169465,38.35837188750845,47.61137391485159,59.58482784911022,265.0,5.583496,0.45918456,57711.0,0,0.008182141156084613,0.991398773223803,0.0004190856201122837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pure Mes.
