,r,reference,method
8x25,0.989648083206252,Internal,stereoscope
8x26,0.980329533216247,Internal,stereoscope
8x27,0.6826963323737945,Internal,stereoscope
8x28,0.9970775000880479,Internal,stereoscope
8x29,0.9999395194825851,Internal,stereoscope
8x30,0.9630508569952136,Internal,stereoscope
8x31,0.9755645448919299,Internal,stereoscope
8x32,0.9648308129849719,Internal,stereoscope
8x33,0.9680717191599124,Internal,stereoscope
8x34,0.9885680555304381,Internal,stereoscope
8x35,0.7432830111633706,Internal,stereoscope
8x36,0.40250835369985594,Internal,stereoscope
8x37,0.9847360616452344,Internal,stereoscope
8x38,0.8865944618381134,Internal,stereoscope
8x39,0.462162120104028,Internal,stereoscope
8x40,0.9850434366543782,Internal,stereoscope
8x41,0.8790358203476424,Internal,stereoscope
8x42,0.981474763201334,Internal,stereoscope
8x43,0.9850339025119033,Internal,stereoscope
8x44,0.9512443015240455,Internal,stereoscope
8x45,0.9178280392949225,Internal,stereoscope
8x46,0.9414525469884665,Internal,stereoscope
8x47,0.21792424300306107,Internal,stereoscope
8x48,0.676372657431812,Internal,stereoscope
8x49,0.8528780790329222,Internal,stereoscope
9x0,0.9979950137320512,Internal,stereoscope
9x1,0.9988974125323489,Internal,stereoscope
9x2,0.9996722529036455,Internal,stereoscope
9x3,0.9983375812737146,Internal,stereoscope
9x4,0.9974994909359872,Internal,stereoscope
9x5,0.9999518009673027,Internal,stereoscope
9x6,0.996519380531427,Internal,stereoscope
9x7,1.0,Internal,stereoscope
9x8,0.997554481440521,Internal,stereoscope
9x9,0.9983092218506979,Internal,stereoscope
9x10,0.9998873654582898,Internal,stereoscope
9x11,1.0,Internal,stereoscope
9x12,0.9985827454122274,Internal,stereoscope
9x13,1.0,Internal,stereoscope
9x14,1.0,Internal,stereoscope
9x15,1.0,Internal,stereoscope
9x16,0.9994081016681524,Internal,stereoscope
9x17,0.999929078425668,Internal,stereoscope
9x18,1.0,Internal,stereoscope
9x19,0.9965649423175955,Internal,stereoscope
9x20,0.9937191135333234,Internal,stereoscope
9x21,0.9966589743060866,Internal,stereoscope
9x22,0.9833282095417596,Internal,stereoscope
9x23,0.9335872975891174,Internal,stereoscope
9x24,0.9666040681262817,Internal,stereoscope
9x25,0.9121223489161884,Internal,stereoscope
9x26,0.6716056705360585,Internal,stereoscope
9x27,0.783939101422656,Internal,stereoscope
9x28,0.9803832910761807,Internal,stereoscope
9x29,0.759986615424312,Internal,stereoscope
9x30,0.7980189284642965,Internal,stereoscope
9x31,0.999922537842518,Internal,stereoscope
9x32,0.9589415200944278,Internal,stereoscope
9x33,0.9999394860643782,Internal,stereoscope
9x34,0.9991481016894894,Internal,stereoscope
9x35,0.9581990131949383,Internal,stereoscope
9x36,0.9929434068004017,Internal,stereoscope
9x37,0.9697807741155045,Internal,stereoscope
9x38,0.9874819733862521,Internal,stereoscope
9x39,0.9808421488263601,Internal,stereoscope
9x40,0.9357975729544641,Internal,stereoscope
9x41,0.9863036640633482,Internal,stereoscope
9x42,0.9963279968665854,Internal,stereoscope
9x43,0.9068450808525581,Internal,stereoscope
9x44,0.9999880257595459,Internal,stereoscope
9x45,0.9986975010276733,Internal,stereoscope
9x46,0.798541254528303,Internal,stereoscope
9x47,0.9959661317265076,Internal,stereoscope
9x48,0.9998951210363171,Internal,stereoscope
9x49,0.9783524492874112,Internal,stereoscope
10x0,0.9949494214147806,Internal,stereoscope
10x1,0.9992273052675028,Internal,stereoscope
10x2,0.999937431195672,Internal,stereoscope
10x3,0.9999905449458233,Internal,stereoscope
10x4,1.0,Internal,stereoscope
10x5,0.99999609621176,Internal,stereoscope
10x6,1.0,Internal,stereoscope
10x7,0.9996224412463874,Internal,stereoscope
10x8,0.9999196750312861,Internal,stereoscope
10x9,0.9997046200072938,Internal,stereoscope
10x10,1.0,Internal,stereoscope
10x11,0.9999987273248803,Internal,stereoscope
10x12,0.9999981083717138,Internal,stereoscope
10x13,1.0,Internal,stereoscope
10x14,0.9999997321096759,Internal,stereoscope
10x15,0.9998669137279852,Internal,stereoscope
10x16,0.9999866313769196,Internal,stereoscope
10x17,0.9999906134680446,Internal,stereoscope
10x18,1.0,Internal,stereoscope
10x19,1.0,Internal,stereoscope
10x20,0.9908443181055737,Internal,stereoscope
10x21,0.9380819298847544,Internal,stereoscope
10x22,0.9675082216389211,Internal,stereoscope
10x23,0.966535614026988,Internal,stereoscope
10x24,0.9987685887714544,Internal,stereoscope
10x25,0.9971831589716076,Internal,stereoscope
10x26,0.9824027846199681,Internal,stereoscope
