"","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"4x31",0.389246140926459,0.215657742207514,0.183497749116357,0.21159836774967,4,31
"4x32",0.331773652079948,0.183596435175703,0.143827131037965,0.340802781706384,4,32
"4x33",0.385547868602535,0.186244991215288,0.186723803644068,0.24148333653811,4,33
"4x34",0.440547662541813,0.16810236816704,0.175474390525114,0.215875578766034,4,34
"4x35",0.410285973772799,0.159773659277251,0.153476602284833,0.276463764665116,4,35
"4x36",0.363136495814285,0.258353714846076,0.127292000008016,0.251217789331623,4,36
"4x37",0.342558725929894,0.173634854857877,0.19507715966738,0.288729259544849,4,37
"4x38",0.353792007377664,0.193411420920391,0.210462732427436,0.242333839274509,4,38
"4x39",0.421653906471483,0.178635626581553,0.167499564026933,0.23221090292003,4,39
"4x40",0.372263998872988,0.117420109741654,0.229433156042679,0.280882735342679,4,40
"4x41",0.338157198773528,0.136632882596058,0.259030167917018,0.266179750713396,4,41
"4x42",0.424646901037297,0.182617168509459,0.108170594579716,0.284565335873528,4,42
"4x43",0.416890308338422,0.182162554644031,0.169949891304396,0.230997245713151,4,43
"4x44",0.423355232847257,0.159650256201603,0.164158531414909,0.252835979536231,4,44
"4x45",0.406465953829889,0.186661855149485,0.13784822909554,0.269023961925087,4,45
"4x46",0.392778116335113,0.174035394764086,0.147778547626565,0.285407941274236,4,46
"4x47",0.388733332753244,0.167171371565296,0.14713447275722,0.29696082292424,4,47
"4x48",0.427699594473022,0.191366859213317,0.188108641245144,0.192824905068518,4,48
"4x49",0.3240712590126,0.200469481020335,0.161330746394864,0.314128513572201,4,49
"5x0",0.407380299827707,0.198502905827261,0.200699628463186,0.193417165881846,5,0
"5x1",0.418372309964691,0.147071181815204,0.208217695976899,0.226338812243207,5,1
"5x2",0.382612256195213,0.148799087071497,0.222311216672266,0.246277440061025,5,2
"5x3",0.437093546765001,0.164843736018908,0.201103343488187,0.196959373727904,5,3
"5x4",0.412059348191726,0.134516457513664,0.211246773321681,0.242177420972929,5,4
"5x5",0.40424454322701,0.196194064029852,0.179088503728084,0.220472889015054,5,5
"5x6",0.395783304286858,0.194543439632824,0.189121320499402,0.220551935580916,5,6
"5x7",0.415405247667366,0.173202714359087,0.192858505054444,0.218533532919103,5,7
"5x8",0.406930313229895,0.137347370210358,0.2033383679004,0.252383948659347,5,8
"5x9",0.421383104214941,0.157444434473557,0.166058390713143,0.255114070598359,5,9
"5x10",0.41134593656,0.138844575762494,0.212043879748658,0.237765607928849,5,10
"5x11",0.381339677255239,0.180591144726765,0.183378313021539,0.254690864996456,5,11
"5x12",0.372808523010907,0.191908987281751,0.210667233667778,0.224615256039564,5,12
"5x13",0.439160045844935,0.116327523496079,0.224325535996949,0.220186894662038,5,13
"5x14",0.456881769261752,0.164350768431532,0.189279302449794,0.189488159856923,5,14
"5x15",0.388278398657271,0.140780914091935,0.202083625958385,0.26885706129241,5,15
"5x16",0.403228975251768,0.162955423918559,0.185825992459034,0.247989608370639,5,16
"5x17",0.405023774050035,0.162966972192121,0.212266077547758,0.219743176210085,5,17
"5x18",0.438706202712401,0.17383296476334,0.184810931756365,0.202649900767893,5,18
"5x19",0.394702113602494,0.154528683011081,0.20566548296107,0.245103720425355,5,19
"5x20",0.407594023094195,0.133600527240611,0.156466586573434,0.30233886309176,5,20
"5x21",0.386878036927553,0.168793717805445,0.188811347355638,0.255516897911365,5,21
"5x22",0.409830896185125,0.216177875878173,0.158014071996067,0.215977155940634,5,22
"5x23",0.489949352114373,0.175508724855181,0.143275745466096,0.191266177564351,5,23
"5x24",0.417685776804067,0.170086423861961,0.192109616181019,0.220118183152953,5,24
