"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes","coordX","coordY"
"3x4",0.258917332004208,0.239240131539108,0.0896764756562453,0.123508167871648,0.204251419400157,0.0844064735286334,3,4
"3x5",0.29240033827015,0.209084657443306,0.0995995812398579,0.120854428080545,0.177689095697177,0.100371899268964,3,5
"3x6",0.28952000649165,0.215770506573403,0.104761002672122,0.102720528318741,0.167851284531122,0.119376671412962,3,6
"3x7",0.275960620452735,0.217306873784248,0.100904187739383,0.0896167375321208,0.198490262749601,0.117721317741912,3,7
"3x8",0.129982168785514,0.134986299740092,0.224508194149293,0.185160711672009,0.165292225219556,0.160070400433536,3,8
"3x9",0.246335222292183,0.252535935200854,0.0932398798534139,0.120296429389563,0.222006974106329,0.0655855591576578,3,9
"3x10",0.266638947890939,0.240517146186862,0.0496595284301494,0.127070690522316,0.203723423523321,0.112390263446412,3,10
"3x11",0.249893342825947,0.239656169262447,0.0897008884308949,0.154197918493387,0.196340540261505,0.0702111407258193,3,11
"3x12",0.221279710239809,0.205730435448944,0.114689760605027,0.126567885300339,0.207202082322024,0.124530126083857,3,12
"3x13",0.254699388378211,0.244270708874399,0.0763566825483789,0.127757577653105,0.214162136082205,0.0827535064637009,3,13
"3x14",0.181781365402454,0.156597156462186,0.221910621963699,0.138422385275809,0.187195040302141,0.114093430593711,3,14
"3x15",0.253024297762134,0.228233092001352,0.0961876568549554,0.113944396888083,0.197916161698136,0.110694394795339,3,15
"3x16",0.252872857412073,0.199872451388316,0.11841322185178,0.123205911447866,0.200823066530134,0.10481249136983,3,16
"3x17",0.315895915924624,0.214888763252207,0.0871684837939029,0.0941386296189116,0.215248245130696,0.0726599622796589,3,17
"3x18",0.275900521637188,0.191218066136302,0.0528687626703299,0.139655131122312,0.177766759870854,0.162590758563014,3,18
"3x19",0.244821909652493,0.226679107903588,0.0851375574221124,0.169001868734225,0.176963601376851,0.0973959549107315,3,19
"3x20",0.213932406330885,0.177861342910343,0.144986914928585,0.176529452515347,0.161928176933662,0.124761706381178,3,20
"3x21",0.154508733964014,0.173461387771369,0.144330232503221,0.144240346084286,0.269031981583641,0.114427318093469,3,21
"3x22",0.249846029392033,0.181105487367061,0.131072313218079,0.215286991812907,0.15255061328855,0.0701385649213698,3,22
"3x23",0.220448838701574,0.198363075251376,0.142396239397477,0.147220329869067,0.18379236565162,0.107779151128885,3,23
"3x24",0.139069828410326,0.195615689323307,0.194991935995425,0.161308269168719,0.171315049848353,0.137699227253869,3,24
"3x25",0.126057181057581,0.15616775052631,0.221578692002625,0.163985964442869,0.214651002933693,0.117559409036922,3,25
"3x26",0.133732522231817,0.176133379992299,0.250634042592514,0.158017467982998,0.147785738377712,0.13369684882266,3,26
"3x27",0.174706438949719,0.182300002144732,0.0755406136939526,0.185603039791515,0.162468234569372,0.219381670850708,3,27
"3x28",0.153137035564022,0.245062663710797,0.148586758116614,0.167984824762091,0.161433225870151,0.123795491976325,3,28
"3x29",0.187691221393297,0.157677406384423,0.172701435564914,0.163090048441908,0.175465624086694,0.143374264128764,3,29
"3x30",0.10094778170141,0.158210819529573,0.247705899561111,0.181142178168002,0.150469790723111,0.161523530316793,3,30
"3x31",0.107096551290617,0.152803070890651,0.220009904356907,0.204336187925593,0.150306062787978,0.165448222748254,3,31
"3x32",0.164384987567295,0.18342599986974,0.221751671690733,0.15860200645197,0.151750353256812,0.120084981163451,3,32
"3x33",0.120901828110717,0.117843386907988,0.244018616421684,0.190959928630747,0.147109461934273,0.179166777994591,3,33
"3x34",0.0770113903399542,0.127625029632537,0.251027355189559,0.193638482204435,0.127841455109015,0.2228562875245,3,34
"3x35",0.0660872777778203,0.173951304310244,0.160904654703639,0.161453711871882,0.195474218465774,0.242128832870639,3,35
"3x36",0.139333015926197,0.175520136133998,0.143196701651961,0.166804415216477,0.188029330240448,0.187116400830918,3,36
"3x37",0.083691941015128,0.155829519356644,0.214456573551173,0.205583255918211,0.229459550698188,0.110979159460656,3,37
"3x38",0.125910791269579,0.184427310781831,0.175139982715985,0.225875714213185,0.127054617923436,0.161591583095982,3,38
"3x39",0.0935919768271046,0.124188704964891,0.241136960367346,0.17431254054326,0.252143838050742,0.114625979246657,3,39
"3x40",0.0569770491146684,0.14830547152196,0.207739111344494,0.254593057814747,0.188858519767604,0.143526790436527,3,40
"3x41",0.0812671503640288,0.180272868425551,0.274326770884628,0.207271228705545,0.155057975473475,0.101804006146771,3,41
"3x42",0.107036225909919,0.200611701816862,0.163524978562271,0.26493950880355,0.128044024146423,0.135843560760974,3,42
"3x43",0.0922669999274649,0.156842594003491,0.218106080390516,0.163940666780542,0.214674144634015,0.154169514263971,3,43
"3x44",0.142639755391927,0.218595209300872,0.120273254473835,0.16847553753563,0.146854106289553,0.203162137008184,3,44
"3x45",0.138697970851186,0.209197470986843,0.124348526159213,0.162520333860971,0.101159235654882,0.264076462486906,3,45
"3x46",0.142858708668767,0.139907414458386,0.151175864737876,0.143122101045699,0.232370871480084,0.190565039609188,3,46
"3x47",0.111745225620717,0.220288935042867,0.105095807622828,0.178667575692239,0.205420474267274,0.178781981754074,3,47
"3x48",0.165845909772334,0.212669418951639,0.079974730075538,0.133906542975687,0.180881939148814,0.226721459075987,3,48
"3x49",0.0936015241705841,0.214697106473088,0.186832942893281,0.18422627164891,0.184659237035126,0.135982917779011,3,49
"4x0",0.256724690928701,0.239099703838421,0.0892912126195096,0.143096257215553,0.187050656783957,0.0847374786138595,4,0
"4x1",0.21753378190286,0.205591840586071,0.172830641090187,0.146067042077078,0.183530114803484,0.0744465795403202,4,1
"4x2",0.221135650456734,0.225300003271635,0.138919542134265,0.165294102310788,0.192367001036885,0.0569837007896917,4,2
"4x3",0.269409142895364,0.221364798232355,0.103875196334944,0.0971084202942817,0.210765492000069,0.0974769502429857,4,3
"4x4",0.326633494960781,0.22673232328172,0.0659933799443028,0.11087443372722,0.155522851547491,0.114243516538485,4,4
"4x5",0.26479018781261,0.228237053044823,0.100580314676495,0.11676604294708,0.206225343517724,0.083401058001268,4,5
"4x6",0.287426281249202,0.215000363753911,0.101850245020374,0.0919546663407271,0.223196422001855,0.0805720216339304,4,6
"4x7",0.305983746348903,0.216710036049811,0.0840846972012629,0.114164162733741,0.184707777091596,0.0943495805746866,4,7
"4x8",0.303891516236661,0.220027689681618,0.0889769806936318,0.107783545771568,0.197414619290372,0.0819056483261488,4,8
"4x9",0.247236991404808,0.239053259239706,0.116972037004849,0.107240022357929,0.205666306110961,0.0838313838817481,4,9
"4x10",0.331260841538283,0.193560299409366,0.0837758844413748,0.129831913111786,0.168968752004023,0.092602309495168,4,10
"4x11",0.28801039565656,0.219896000724028,0.094339935972296,0.126326894759761,0.183274570554996,0.0881522023323596,4,11
"4x12",0.250541795980979,0.260843051068065,0.103377692450204,0.128135766270942,0.176929161772735,0.0801725324570749,4,12
"4x13",0.303161159940502,0.209399703004466,0.0735662491806957,0.109580531573772,0.181660993062262,0.122631363238303,4,13
"4x14",0.264232850347168,0.237143488774228,0.0870133873512124,0.100520348325676,0.191449840531193,0.119640084670523,4,14
"4x15",0.269932051873253,0.224386239554527,0.132559299801265,0.102457211736422,0.182024271315241,0.0886409257192921,4,15
"4x16",0.283715876433978,0.212543875950021,0.0990309720364641,0.127314743521635,0.1846938463989,0.092700685659002,4,16
"4x17",0.269928415763802,0.219098047779137,0.0356205481956234,0.143017849894504,0.17454968931295,0.157785449053983,4,17
"4x18",0.273811415508114,0.176632704370876,0.124911366502228,0.0881905354593534,0.171596592319462,0.164857385839966,4,18
"4x19",0.20124653084709,0.187716510935882,0.145193707408898,0.120452716780285,0.178458620088244,0.166931913939601,4,19
"4x20",0.276722862899968,0.232213820328233,0.0889373214395504,0.142956959456405,0.175975141547775,0.0831938943280684,4,20
"4x21",0.225657500530396,0.202294313284452,0.115424633546787,0.145732119673866,0.166017529005817,0.144873903958683,4,21
"4x22",0.193373194708933,0.246883741312133,0.11944100313923,0.148505549815408,0.201524485179269,0.0902720258450271,4,22
"4x23",0.156962150518214,0.189918864134534,0.232733846026421,0.144286992528684,0.168673406865606,0.107424739926542,4,23
"4x24",0.154564761909046,0.189363201687368,0.157694129575028,0.124741158945421,0.232262676031169,0.141374071851968,4,24
"4x25",0.167210955187546,0.232744901054372,0.161140569568246,0.151467058663271,0.166959232879336,0.120477282647229,4,25
