	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
3x0	0.3623588	2.5790597e-11	0.045828607	0.46078193	0.13103068	7.305635e-12
3x1	1.0	1.5590939e-09	2.528428e-11	4.035539e-12	2.2189073e-11	1.8514223e-11
3x2	1.0	1.8689437e-10	1.2578375e-11	2.9332847e-12	1.6958239e-11	9.5983525e-12
3x3	1.0	2.9057995e-10	2.4612973e-11	4.1720264e-12	1.5106943e-11	1.1097999e-11
3x4	0.8762291	0.036408193	0.022264842	0.003633665	0.010347953	0.051116403
3x5	1.0	7.268385e-11	2.2396434e-11	4.429247e-12	4.060424e-11	2.032838e-11
3x6	0.8465889	4.704726e-11	0.15341114	4.412283e-12	2.4210463e-11	2.9484467e-11
3x7	0.88673	4.4010146e-11	0.11326994	3.946916e-12	5.5470968e-11	1.4010846e-11
3x8	0.14549915	1.000287e-11	0.22247425	7.839114e-13	0.20288444	0.42914215
3x9	1.0	1.7368001e-10	2.151109e-11	5.1312765e-12	1.3517307e-11	1.519618e-11
3x10	1.0	2.1234145e-11	9.899084e-12	2.832513e-12	1.1002291e-11	8.802697e-12
3x11	1.0	2.7930817e-11	7.376155e-12	2.0082837e-12	5.6387564e-12	6.759413e-12
3x12	0.61768323	2.2820641e-11	0.34606275	1.6782996e-12	2.0248919e-11	0.03625406
3x13	1.0	7.960256e-11	2.963623e-11	7.669052e-12	2.4272131e-11	2.1190286e-11
3x14	0.16415939	5.4512752e-11	0.16332902	9.130116e-13	0.15232085	0.5201908
3x15	1.0	7.051995e-11	1.7110351e-11	3.712129e-12	1.0774149e-11	2.9077e-11
3x16	0.39862034	2.6680075e-11	2.0322929e-11	2.3364693e-12	1.1108368e-10	0.6013797
3x17	1.0	3.65744e-11	7.404184e-12	2.2621488e-12	7.894682e-12	6.520487e-12
3x18	0.2997323	2.3308551e-11	9.540523e-11	1.7884439e-12	0.58075386	0.11951389
3x19	0.74581885	2.3934266e-11	0.25418112	1.5442774e-12	4.145856e-11	1.2800342e-11
3x20	0.35927305	1.52162e-11	0.24697703	1.0653943e-12	0.13788486	0.25586504
3x21	0.28004202	0.09389359	0.066017576	0.29579058	0.03538806	0.22886811
3x22	0.3758965	1.9941679e-11	0.15682222	1.1383134e-12	0.15985024	0.307431
3x23	0.37465775	1.491669e-10	0.3015197	1.1628557e-12	0.08759008	0.23623241
3x24	0.23967782	0.08275998	0.15099235	7.834896e-13	0.13517578	0.3913941
3x25	0.1614567	0.16012591	0.08580218	0.19710578	0.1121673	0.2833421
3x26	0.13501693	0.19181325	0.11533411	6.794649e-13	0.10712783	0.45070785
3x27	0.16269414	0.17500147	0.14712462	0.1649202	0.25918403	0.0910756
3x28	0.23628792	0.3360957	0.12213712	8.9521966e-13	0.1023409	0.20313834
3x29	0.25275218	0.16975176	0.1530317	8.2593925e-13	0.07466567	0.34979865
3x30	0.24203433	0.22337769	0.17178656	5.465302e-13	0.10847779	0.25432363
3x31	0.23964004	0.16122925	0.1490183	6.310706e-13	0.14196412	0.30814826
3x32	0.21439314	0.18969752	0.1235784	8.1450986e-13	0.09327881	0.37905216
3x33	0.24850042	0.13222583	0.13215272	5.683331e-13	0.15896691	0.32815415
3x34	0.16977644	0.17790225	0.18827873	4.9594996e-13	0.18346712	0.2805754
3x35	0.094914824	0.19637404	0.0786081	0.17661902	0.25313196	0.20035201
3x36	0.252477	0.027887424	0.20051788	0.11551937	0.18534224	0.21825613
3x37	0.12172029	0.31380126	0.13613309	0.117105365	0.047412913	0.2638272
3x38	0.20741124	0.1387279	0.273146	6.893881e-13	0.16646032	0.21425451
3x39	0.17494977	0.23291011	0.106705986	0.14061072	0.104170345	0.24065305
3x40	0.16350907	0.25477475	0.14490165	0.0798847	0.11781737	0.23911244
3x41	0.14977102	0.25272945	0.1269376	7.1654645e-13	0.1327527	0.3378092
3x42	0.11303516	0.22109976	0.29033896	7.0987194e-13	0.06529904	0.31022707
3x43	0.12261271	0.25382715	0.08737353	0.1448085	0.10552469	0.28585342
3x44	0.07618414	0.30112165	0.18289854	7.4574743e-13	0.27427503	0.16552064
3x45	0.16162913	0.122725815	0.11981406	7.936166e-13	0.32099912	0.2748319
3x46	0.11076345	0.19254023	0.1376967	0.0863277	0.22639255	0.24627931
3x47	0.17931262	0.17365219	0.19503233	0.08710038	0.18633738	0.1785651
3x48	0.25999913	0.00022439407	0.029191187	1.0429592e-12	0.45251453	0.2580707
3x49	0.080215864	0.23375188	0.17352405	7.0662286e-13	0.1786392	0.33386904
4x0	1.0	2.659125e-10	1.2166462e-11	2.8958517e-12	1.0233392e-11	9.386122e-12
4x1	0.32605723	0.031943507	0.12226361	1.1202395e-12	0.060858607	0.45887706
4x2	0.49384552	0.1739587	0.24910553	1.329755e-12	0.023244238	0.059846073
4x3	1.0	2.7137154e-11	9.253385e-12	1.9446341e-12	4.3899138e-12	5.4006027e-12
4x4	0.999999	4.550454e-07	1.9658317e-07	3.9992184e-08	1.2934825e-07	1.16913476e-07
4x5	1.0	3.878113e-11	1.91021e-11	2.0119147e-12	7.2285363e-12	1.281557e-11
4x6	1.0	3.9423947e-11	1.29809635e-11	3.2054116e-12	7.578534e-12	9.438261e-12
4x7	1.0	3.750599e-11	1.16566375e-11	2.717578e-12	6.878512e-12	9.2513375e-12
4x8	1.0	5.124154e-11	1.7073289e-11	4.462847e-12	1.4415456e-11	1.8510905e-11
4x9	1.0	2.9045509e-11	9.3458435e-12	2.6858231e-12	5.3156134e-12	9.44125e-12
4x10	1.0	8.131894e-11	1.9799095e-11	2.8992431e-12	7.94844e-12	1.3493211e-11
4x11	1.0	3.2083714e-11	1.5844345e-11	3.5918265e-12	1.0101078e-11	8.957359e-12
4x12	1.0	6.705936e-11	2.2968486e-11	5.724707e-12	1.6807278e-11	1.828691e-11
4x13	1.0	4.3796067e-11	2.5706583e-11	3.7312705e-12	5.5737755e-11	1.2793241e-11
4x14	0.84672546	3.1570073e-11	2.577382e-11	2.0118772e-12	1.8866315e-11	0.15327452
4x15	0.9169578	1.08365546e-10	1.7702383e-10	3.206108e-12	5.414215e-11	0.08304221
4x16	1.0	4.3419674e-11	1.5391783e-11	4.0330933e-12	1.0839144e-11	1.1525209e-11
4x17	0.45822608	1.3713896e-11	0.069116585	1.3492702e-12	0.47265735	8.444682e-12
4x18	0.34379277	3.1842338e-11	6.0130206e-11	1.2785273e-12	0.3842064	0.27200085
4x19	0.45151106	0.031556834	0.008278606	1.1045384e-12	0.15100208	0.35765147
4x20	0.54283416	3.7377327e-11	0.2134313	4.422339e-12	0.24373452	1.6639162e-11
4x21	0.23737131	4.4360446e-11	0.13668828	1.3742874e-12	0.26200783	0.36393255
4x22	0.08871431	0.358575	0.0006625986	1.2599099e-12	0.120643914	0.43140417
4x23	0.3144139	0.113600686	1.5940188e-11	9.224571e-13	0.06470157	0.50728387
4x24	0.14013876	0.18997341	9.534223e-11	0.30187467	0.075822525	0.29219067
4x25	0.16406329	0.22457023	0.16010733	9.737151e-13	0.15713438	0.2941247
4x26	0.21984266	0.17747028	0.07909679	6.83677e-13	0.12712815	0.3964622
4x27	0.23265328	0.07419598	0.09389138	0.1401434	0.20180492	0.25731108
4x28	0.18229592	0.22879748	0.109902635	0.12152821	0.07942877	0.27804703
4x29	0.29949284	0.16149381	0.102693275	6.2873263e-13	0.1088595	0.3274606
4x30	0.06817778	0.20427114	0.16633995	0.121034265	0.18890092	0.25127602
4x31	0.06677532	0.25676554	0.21105261	7.6228216e-13	0.11687285	0.34853372
4x32	0.12789749	0.18192159	0.19555758	5.9140724e-13	0.24646144	0.24816191
4x33	0.28422484	0.08055625	0.13987648	0.15843809	0.07557986	0.2613246
4x34	0.22521795	0.19720529	0.15687832	7.3298025e-13	0.08941539	0.3312831
4x35	0.2513464	0.21980107	0.06339656	6.363956e-13	0.07092931	0.3945267
4x36	0.2180103	0.14657111	0.18811227	5.7188005e-13	0.15870216	0.28860414
4x37	0.1752682	0.05762109	0.14813298	0.26283485	0.1533677	0.20277523
4x38	0.16205385	0.16752212	0.1351495	0.17619804	0.06021245	0.29886413
4x39	0.07839612	0.3313657	0.13452022	6.145701e-13	0.11854689	0.33717108
4x40	0.21515219	0.22807674	0.06941351	0.14709847	0.126851	0.21340807
4x41	0.13137107	0.24016035	0.059503347	0.35292783	0.06332871	0.15270868
4x42	0.1916433	0.20991038	0.20216955	5.6382834e-13	0.13632894	0.25994784
4x43	0.17267711	0.15203305	0.18828134	5.973461e-13	0.13264094	0.35436752
4x44	0.25570437	0.19100392	0.118961655	5.537326e-13	0.11673968	0.3175903
4x45	0.21613607	0.31042048	0.17593275	7.467749e-13	0.15094331	0.14656736
4x46	0.28782782	0.11813571	0.104687564	6.77529e-13	0.17778641	0.3115625
4x47	0.23947285	0.14968096	0.020303214	7.0638086e-13	0.32187015	0.26867282
4x48	0.19474766	0.26692256	0.16783842	5.9332053e-13	0.103453055	0.26703835
4x49	0.22038408	0.27140984	0.17987117	0.12885256	0.18809523	0.011387089
5x0	0.41240674	0.09800892	0.22607853	1.5195201e-12	0.102063216	0.1614426
5x1	0.2787779	2.5017361e-11	0.19030498	1.0848314e-12	0.24959427	0.28132284
5x2	1.0	1.265456e-10	1.9715124e-11	2.5222409e-12	3.633491e-11	9.481656e-12
5x3	0.87454486	4.0687762e-11	0.12545519	2.3024711e-12	8.096864e-12	9.391148e-12
5x4	1.0	6.604919e-11	2.3778547e-11	2.16866e-12	6.647507e-12	8.509138e-12
5x5	1.0	5.5006687e-11	1.7825354e-11	5.6010214e-12	1.5668803e-11	2.0488933e-11
5x6	0.41863307	4.1308634e-11	0.11825797	8.165844e-13	0.07079786	0.3923111
5x7	1.0	4.9679788e-11	5.1688966e-11	3.8815405e-12	3.3198187e-11	2.6806269e-11
5x8	1.0	7.07336e-11	2.2765801e-11	5.711759e-12	1.5292604e-11	1.41297035e-11
5x9	1.0	3.3680576e-11	1.228778e-11	1.9708861e-12	9.113059e-12	1.2612281e-11
5x10	1.0	6.2290624e-11	3.0833214e-11	5.101806e-12	1.7874155e-11	1.5541078e-10
5x11	1.0	2.5372843e-11	1.1520243e-11	2.740664e-12	1.4758465e-11	9.736367e-12
5x12	1.0	1.8905924e-11	1.317947e-11	2.5114002e-12	5.5156387e-12	7.390517e-12
5x13	1.0	1.6389673e-10	3.3195356e-11	5.2277514e-12	3.9101156e-11	2.56907e-11
5x14	1.0	2.022908e-11	1.3084913e-11	2.06603e-12	7.344452e-12	7.2070292e-12
5x15	1.0	2.4870606e-11	1.4655015e-11	2.909886e-12	1.5857943e-11	8.768386e-12
5x16	1.0	4.789768e-11	2.6112341e-11	5.3262035e-12	1.9233039e-11	1.5010538e-11
5x17	1.0	3.6081943e-11	1.3942197e-11	2.438949e-12	6.321858e-12	1.6656544e-11
5x18	0.2651358	0.21070814	0.04218377	1.1725728e-12	0.09373238	0.38823992
5x19	0.34641403	0.16897042	6.82439e-07	1.2434192e-12	0.16415025	0.32046464
5x20	0.2592985	2.659198e-10	0.11547299	1.3706992e-12	0.46810997	0.15711856
5x21	0.26827314	1.0256153e-10	0.11732677	1.149532e-12	0.17329541	0.44110465
5x22	0.25026524	0.16468327	0.16677348	7.3527447e-13	0.11088891	0.3073891
5x23	0.3528579	0.0954273	0.031974085	7.442367e-13	0.08361289	0.43612787
5x24	0.19901498	0.09336405	0.10549468	0.2207538	0.10235966	0.27901283
5x25	0.23993607	0.006243899	0.2000771	7.2327637e-13	0.14669883	0.40704408
5x26	0.35377634	2.994714e-11	0.14249946	7.0221677e-13	0.26591396	0.2378103
5x27	0.07749968	0.2757177	0.25848573	8.6164723e-13	0.1076509	0.280646
5x28	0.31023774	3.2897432e-10	0.1622918	0.13281932	0.161474	0.23317713
5x29	0.28176928	0.12724273	0.09920094	0.15563445	0.11815162	0.21800105
5x30	0.28263795	2.3327819e-11	0.1664184	7.597404e-13	0.14121692	0.40972674
5x31	0.30326936	0.117148936	0.24152246	6.9843203e-13	0.13493127	0.203128
5x32	0.08755103	0.16531707	0.23378144	0.2258497	0.09788137	0.1896194
5x33	0.26493883	0.11409908	0.21176758	7.725208e-13	0.12386525	0.28532928
5x34	0.12161603	0.24094675	0.13019837	0.11697427	0.092865095	0.29739946
5x35	0.1859341	0.14734976	0.13974161	0.115857475	0.15510339	0.2560137
5x36	0.22283895	0.12133035	0.22492123	7.823267e-13	0.17477585	0.25613362
5x37	0.2135127	0.08332258	0.11904576	6.090573e-13	0.24119484	0.34292415
5x38	0.25421494	0.17447658	0.15350293	6.4501074e-13	0.19073087	0.2270747
5x39	0.16956556	0.21173768	0.1469715	7.077847e-13	0.17301017	0.29871503
5x40	0.19008337	0.08528657	0.20532691	6.141929e-13	0.2622445	0.25705868
5x41	0.17397273	0.22527964	0.1315951	5.2337073e-13	0.13758725	0.33156532
5x42	0.21696423	0.19661412	0.16181086	5.6111344e-13	0.19192289	0.23268792
5x43	0.24279039	0.15835036	0.1507568	4.9658476e-13	0.16870758	0.27939484
5x44	0.18468232	0.22319043	0.2001305	5.683928e-13	0.079156846	0.31283993
5x45	0.16875435	0.24671206	0.13023065	7.7857615e-13	0.11958467	0.33471832
5x46	0.011727775	0.25376502	0.19196904	0.1697192	0.17144161	0.2013774
5x47	0.17696731	0.2434188	0.25149474	7.99591e-13	0.15877731	0.16934188
5x48	0.301344	0.20300023	0.120228946	6.3884184e-13	0.07944795	0.2959788
5x49	0.23617631	0.11867216	0.16677421	0.22767912	0.25069818	9.261367e-12
6x0	0.3116899	0.1492594	0.16735089	1.9227044e-12	0.37169984	2.1803776e-11
6x1	0.48381257	6.3391535e-11	3.4070476e-11	1.55583e-12	0.06359741	0.45259005
6x2	1.0	7.415713e-11	3.213793e-11	5.258475e-12	3.273675e-11	3.3207975e-11
6x3	1.0	4.238129e-11	3.1119282e-10	3.6777473e-12	1.9800427e-11	1.9535883e-11
6x4	1.0	2.943675e-11	8.39285e-12	2.888131e-12	9.1414576e-12	8.829787e-12
6x5	1.0	6.143635e-11	3.208496e-11	5.8037967e-12	2.4196466e-11	2.3927115e-11
6x6	0.5421171	1.3183547e-11	0.15334046	9.451351e-13	0.2227382	0.0818042
6x7	0.308863	0.1490572	0.049998116	0.10181728	0.069400944	0.32086354
6x8	1.0	2.393138e-11	1.5674448e-11	1.9111507e-12	5.60831e-12	7.470387e-12
6x9	1.0	4.3344894e-11	3.636858e-11	3.5731038e-12	1.3063167e-11	1.934876e-11
