	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
3x35	0.13936943	0.19632253	0.19992803	0.13571903	0.20914231	0.11951859
3x36	0.31117034	0.07727923	0.11157362	0.13430066	0.16901211	0.19666404
3x37	0.25346854	0.14380495	0.23808499	0.1446501	5.9439524e-12	0.2199914
3x38	0.29168412	0.16355002	0.10151181	0.014646692	0.24204947	0.18655789
3x39	0.29379	0.06394203	0.12396905	0.16526334	0.117434844	0.23560068
3x40	0.102565974	0.21342994	0.20234388	0.13157614	0.16487844	0.18520567
3x41	0.16816913	0.19691677	0.0716228	0.014670647	0.115915045	0.4327056
3x42	0.13101527	0.23040897	0.28465936	2.4086844e-12	0.19577865	0.15813775
3x43	0.15462616	0.17183506	0.2694296	0.15973353	0.08332743	0.16104822
3x44	0.28194577	0.23350589	0.04832712	2.646803e-12	0.27516335	0.16105789
3x45	0.23835169	0.20735742	2.726997e-10	3.1651374e-12	0.33953214	0.21475875
3x46	0.2239074	0.05619757	0.33682424	0.1786505	0.12043299	0.083987266
3x47	0.13528977	0.24929233	0.023728639	0.12432342	0.32512328	0.14224252
3x48	0.41178882	0.076721184	0.139709	3.824068e-12	0.28292385	0.088857114
3x49	0.1890873	0.24736723	0.059732683	2.1034726e-12	0.20713367	0.29667914
4x0	1.0	3.081967e-09	5.0692094e-12	6.1990426e-12	7.311965e-12	3.0221344e-12
4x1	0.6009855	3.7362184e-12	8.856512e-12	9.170368e-12	0.09706032	0.30195418
4x2	0.5455684	0.18643887	0.2679927	2.039058e-12	7.131606e-12	8.288554e-12
4x3	1.0	1.23078405e-11	5.9834733e-12	3.7909493e-12	5.36218e-12	2.5957916e-12
4x4	1.0	6.0147295e-12	3.799242e-12	2.500111e-12	1.015236e-11	2.387325e-12
4x5	1.0	5.760073e-12	5.6990497e-12	2.4094182e-12	3.9182407e-12	2.8382032e-12
4x6	1.0	4.183044e-12	3.3839095e-12	2.6818244e-12	4.439157e-12	1.9877162e-12
4x7	1.0	4.9697425e-12	4.2775154e-12	3.3766622e-12	3.853277e-12	2.111772e-12
4x8	1.0	5.381712e-12	3.930996e-12	2.9358473e-12	5.021515e-12	2.4979595e-12
4x9	1.0	5.044199e-12	5.0689474e-12	2.1127533e-12	2.9944834e-12	2.3220835e-12
4x10	1.0	9.606408e-12	5.249529e-12	5.3097275e-12	6.1345477e-12	2.4674496e-12
4x11	1.0	1.0142679e-11	3.7578235e-12	2.0431124e-12	4.4618276e-12	2.145366e-12
4x12	1.0	1.1143927e-11	4.2443852e-12	3.0279147e-12	6.1203603e-12	2.5755186e-12
4x13	0.97959745	3.969404e-12	3.920563e-12	3.304154e-12	0.020402577	2.11731e-12
4x14	1.0	5.8348287e-12	1.3920304e-10	2.2505095e-12	6.5718208e-12	1.2317277e-11
4x15	0.9666881	4.3732084e-12	1.1205422e-11	5.255533e-12	0.03331195	5.896863e-12
4x16	1.0	4.986817e-12	3.9755872e-12	1.9302834e-12	4.0388482e-12	2.132993e-12
4x17	0.71462923	3.316063e-12	5.6662396e-12	1.84389e-12	0.2853708	2.3954096e-12
4x18	0.6059677	2.4976412e-12	5.1682367e-11	8.2075735e-12	0.23647475	0.15755749
4x19	0.65019494	6.215239e-11	3.3889776e-11	3.2558721e-12	0.111200854	0.23860425
4x20	0.78986937	6.729294e-12	8.951961e-12	2.1416337e-12	0.21013065	2.6736974e-12
4x21	0.5916028	8.154319e-12	7.4988585e-11	2.6821603e-12	0.2269936	0.18140352
4x22	0.46220958	0.20962425	2.9607292e-11	3.100213e-12	0.09278414	0.23538207
4x23	0.53581405	0.04962077	0.00014234928	3.5772923e-12	8.127059e-12	0.41442278
4x24	0.5022898	0.05822647	2.6461708e-11	0.19160211	0.023200527	0.2246812
4x25	0.26411527	0.17236467	0.31200302	2.1235545e-11	0.10704495	0.14447208
4x26	0.37533215	7.372536e-12	0.12405368	0.01843951	0.051470675	0.43070397
4x27	0.29118207	0.06562765	0.11294375	0.10601214	0.21809556	0.20613885
4x28	0.3937358	0.14071678	0.08155559	0.096659295	0.053914372	0.23341814
4x29	0.302853	0.09428005	0.20605788	3.101587e-12	0.12362246	0.2731867
4x30	0.23212188	0.09764938	0.10747442	0.11151751	0.24185577	0.20938109
4x31	2.7135941e-11	0.40194196	0.10906626	2.8779645e-11	0.15809458	0.33089718
4x32	0.21587749	0.17471202	0.07525926	0.029785011	0.24167188	0.26269436
4x33	0.3101437	0.0782436	1.8160647e-11	0.11737446	0.18855417	0.30568406
4x34	0.17479047	0.20551135	0.14012764	0.0020038795	0.05479577	0.42277092
4x35	0.34933308	0.12785485	0.2239578	5.9217752e-12	1.5709089e-11	0.2988542
4x36	0.26385763	0.09487946	0.08814142	0.026288692	0.25503996	0.2717928
4x37	0.25814763	0.038855862	0.11130498	0.17904006	0.21636555	0.19628589
4x38	0.0969161	0.3385975	0.024902506	0.18470664	0.081898	0.27297935
4x39	0.19598848	0.2814501	0.19616167	1.5682472e-12	0.09807437	0.22832544
4x40	0.26233828	0.09526579	0.04003088	0.20198011	0.08374539	0.3166395
4x41	0.21440041	0.20485963	0.18485664	0.27149186	7.3536975e-12	0.124391526
4x42	0.2800107	0.10462807	0.049028814	0.015605515	0.24081759	0.3099093
4x43	0.3492209	0.046941984	0.2555714	2.09935e-12	0.09417374	0.25409195
4x44	0.12747623	0.14778522	0.31701708	0.045372684	0.064834185	0.2975146
4x45	0.24509615	0.21978308	0.33769405	0.0072422167	0.1403525	0.04983202
4x46	0.15973012	0.21926607	0.39602286	4.4795426e-12	0.05870588	0.16627502
4x47	0.2651278	0.17685734	0.21962765	2.5354425e-11	0.24474801	0.093639225
4x48	0.17470552	0.16861263	0.28774253	0.007745215	0.057993844	0.3032003
4x49	0.20935467	0.23960775	0.08570502	0.113931105	0.34172156	0.009679832
5x0	0.6155077	0.14628562	0.15760355	4.095088e-12	0.048953906	0.031649236
5x1	0.4857504	4.610234e-12	0.07532377	2.6952106e-12	0.22364323	0.21528268
5x2	1.0	8.6529395e-12	4.420661e-12	3.702806e-12	4.162684e-12	2.3990061e-12
5x3	1.0	1.2991299e-11	1.1925102e-11	3.962508e-12	1.7049922e-11	2.947293e-12
5x4	0.86294913	0.13705088	4.2211976e-12	4.3208228e-12	7.773009e-12	2.4229668e-12
5x5	1.0	4.4417894e-12	4.837988e-12	2.75522e-12	4.985834e-12	2.8964754e-12
5x6	0.53883326	2.0018522e-12	4.9869456e-11	4.0803836e-12	0.057303153	0.40386352
5x7	1.0	6.6751717e-12	6.2459747e-12	2.8346303e-12	8.719925e-12	2.9185593e-12
