,x,y
18x8,18,8
18x9,18,9
18x10,18,10
18x11,18,11
18x12,18,12
18x13,18,13
18x14,18,14
18x15,18,15
18x16,18,16
18x17,18,17
18x18,18,18
18x19,18,19
18x20,18,20
18x21,18,21
18x22,18,22
18x23,18,23
18x24,18,24
18x25,18,25
18x26,18,26
18x27,18,27
18x28,18,28
18x29,18,29
18x30,18,30
18x31,18,31
18x32,18,32
18x33,18,33
18x34,18,34
18x35,18,35
18x36,18,36
18x37,18,37
18x38,18,38
18x39,18,39
18x40,18,40
18x41,18,41
18x42,18,42
18x43,18,43
18x44,18,44
18x45,18,45
18x46,18,46
18x47,18,47
18x48,18,48
18x49,18,49
19x0,19,0
19x1,19,1
19x2,19,2
19x3,19,3
19x4,19,4
19x5,19,5
19x6,19,6
19x7,19,7
19x8,19,8
19x9,19,9
19x10,19,10
19x11,19,11
19x12,19,12
19x13,19,13
19x14,19,14
19x15,19,15
19x16,19,16
19x17,19,17
19x18,19,18
19x19,19,19
19x20,19,20
19x21,19,21
19x22,19,22
19x23,19,23
19x24,19,24
19x25,19,25
19x26,19,26
19x27,19,27
19x28,19,28
19x29,19,29
19x30,19,30
19x31,19,31
19x32,19,32
19x33,19,33
19x34,19,34
19x35,19,35
19x36,19,36
19x37,19,37
19x38,19,38
19x39,19,39
19x40,19,40
19x41,19,41
19x42,19,42
19x43,19,43
19x44,19,44
19x45,19,45
19x46,19,46
19x47,19,47
19x48,19,48
19x49,19,49
20x0,20,0
20x1,20,1
20x2,20,2
20x3,20,3
20x4,20,4
20x5,20,5
20x6,20,6
20x7,20,7
20x8,20,8
20x9,20,9
20x10,20,10
20x11,20,11
20x12,20,12
20x13,20,13
20x14,20,14
20x15,20,15
20x16,20,16
20x17,20,17
20x18,20,18
20x19,20,19
20x20,20,20
20x21,20,21
20x22,20,22
20x23,20,23
20x24,20,24
20x25,20,25
20x26,20,26
20x27,20,27
20x28,20,28
20x29,20,29
20x30,20,30
20x31,20,31
20x32,20,32
20x33,20,33
20x34,20,34
20x35,20,35
20x36,20,36
20x37,20,37
20x38,20,38
20x39,20,39
20x40,20,40
20x41,20,41
20x42,20,42
20x43,20,43
20x44,20,44
20x45,20,45
20x46,20,46
20x47,20,47
20x48,20,48
20x49,20,49
21x0,21,0
21x1,21,1
21x2,21,2
21x3,21,3
21x4,21,4
21x5,21,5
21x6,21,6
21x7,21,7
21x8,21,8
21x9,21,9
21x10,21,10
21x11,21,11
21x12,21,12
21x13,21,13
21x14,21,14
21x15,21,15
21x16,21,16
21x17,21,17
21x18,21,18
21x19,21,19
21x20,21,20
21x21,21,21
21x22,21,22
21x23,21,23
21x24,21,24
21x25,21,25
21x26,21,26
21x27,21,27
21x28,21,28
21x29,21,29
21x30,21,30
21x31,21,31
21x32,21,32
21x33,21,33
21x34,21,34
21x35,21,35
21x36,21,36
21x37,21,37
21x38,21,38
21x39,21,39
21x40,21,40
21x41,21,41
21x42,21,42
21x43,21,43
21x44,21,44
21x45,21,45
21x46,21,46
21x47,21,47
21x48,21,48
21x49,21,49
22x0,22,0
22x1,22,1
22x2,22,2
22x3,22,3
22x4,22,4
22x5,22,5
22x6,22,6
22x7,22,7
22x8,22,8
22x9,22,9
22x10,22,10
22x11,22,11
22x12,22,12
22x13,22,13
22x14,22,14
22x15,22,15
22x16,22,16
22x17,22,17
22x18,22,18
22x19,22,19
22x20,22,20
22x21,22,21
22x22,22,22
22x23,22,23
22x24,22,24
22x25,22,25
22x26,22,26
22x27,22,27
22x28,22,28
22x29,22,29
22x30,22,30
22x31,22,31
22x32,22,32
22x33,22,33
22x34,22,34
22x35,22,35
22x36,22,36
22x37,22,37
22x38,22,38
22x39,22,39
22x40,22,40
22x41,22,41
22x42,22,42
22x43,22,43
22x44,22,44
22x45,22,45
22x46,22,46
22x47,22,47
22x48,22,48
22x49,22,49
23x0,23,0
23x1,23,1
23x2,23,2
23x3,23,3
23x4,23,4
23x5,23,5
23x6,23,6
23x7,23,7
23x8,23,8
23x9,23,9
23x10,23,10
23x11,23,11
23x12,23,12
23x13,23,13
23x14,23,14
23x15,23,15
23x16,23,16
23x17,23,17
23x18,23,18
23x19,23,19
23x20,23,20
23x21,23,21
23x22,23,22
23x23,23,23
23x24,23,24
23x25,23,25
23x26,23,26
23x27,23,27
23x28,23,28
23x29,23,29
23x30,23,30
23x31,23,31
23x32,23,32
23x33,23,33
23x34,23,34
23x35,23,35
23x36,23,36
23x37,23,37
23x38,23,38
23x39,23,39
23x40,23,40
23x41,23,41
23x42,23,42
23x43,23,43
23x44,23,44
23x45,23,45
23x46,23,46
23x47,23,47
23x48,23,48
23x49,23,49
24x0,24,0
24x1,24,1
24x2,24,2
24x3,24,3
24x4,24,4
24x5,24,5
24x6,24,6
24x7,24,7
24x8,24,8
24x9,24,9
24x10,24,10
24x11,24,11
24x12,24,12
24x13,24,13
24x14,24,14
24x15,24,15
24x16,24,16
24x17,24,17
24x18,24,18
24x19,24,19
24x20,24,20
24x21,24,21
24x22,24,22
24x23,24,23
24x24,24,24
24x25,24,25
24x26,24,26
24x27,24,27
24x28,24,28
24x29,24,29
24x30,24,30
24x31,24,31
24x32,24,32
24x33,24,33
24x34,24,34
24x35,24,35
24x36,24,36
24x37,24,37
24x38,24,38
24x39,24,39
24x40,24,40
24x41,24,41
24x42,24,42
24x43,24,43
24x44,24,44
24x45,24,45
24x46,24,46
24x47,24,47
24x48,24,48
24x49,24,49
25x0,25,0
25x1,25,1
25x2,25,2
25x3,25,3
25x4,25,4
25x5,25,5
25x6,25,6
25x7,25,7
25x8,25,8
25x9,25,9
25x10,25,10
25x11,25,11
25x12,25,12
25x13,25,13
25x14,25,14
25x15,25,15
25x16,25,16
25x17,25,17
25x18,25,18
25x19,25,19
25x20,25,20
25x21,25,21
25x22,25,22
25x23,25,23
25x24,25,24
25x25,25,25
25x26,25,26
25x27,25,27
25x28,25,28
25x29,25,29
25x30,25,30
25x31,25,31
25x32,25,32
25x33,25,33
25x34,25,34
25x35,25,35
25x36,25,36
25x37,25,37
25x38,25,38
25x39,25,39
25x40,25,40
25x41,25,41
25x42,25,42
25x43,25,43
25x44,25,44
25x45,25,45
25x46,25,46
25x47,25,47
25x48,25,48
25x49,25,49
26x0,26,0
26x1,26,1
26x2,26,2
26x3,26,3
26x4,26,4
26x5,26,5
26x6,26,6
26x7,26,7
26x8,26,8
26x9,26,9
26x10,26,10
26x11,26,11
26x12,26,12
26x13,26,13
26x14,26,14
26x15,26,15
26x16,26,16
26x17,26,17
26x18,26,18
26x19,26,19
26x20,26,20
26x21,26,21
26x22,26,22
26x23,26,23
26x24,26,24
26x25,26,25
26x26,26,26
26x27,26,27
26x28,26,28
26x29,26,29
26x30,26,30
26x31,26,31
26x32,26,32
26x33,26,33
26x34,26,34
26x35,26,35
26x36,26,36
26x37,26,37
26x38,26,38
26x39,26,39
26x40,26,40
26x41,26,41
26x42,26,42
26x43,26,43
26x44,26,44
26x45,26,45
26x46,26,46
26x47,26,47
26x48,26,48
26x49,26,49
27x0,27,0
27x1,27,1
27x2,27,2
27x3,27,3
27x4,27,4
27x5,27,5
27x6,27,6
27x7,27,7
27x8,27,8
27x9,27,9
27x10,27,10
27x11,27,11
27x12,27,12
27x13,27,13
27x14,27,14
27x15,27,15
27x16,27,16
