"","E","M","S"
"16x64",0.00140215775075557,0.837590878508282,0.0192618771013552
"97x63",0.235707674700676,0.000265974220991984,1.05450455937397
"82x50",0.000542804532652319,0.817631745071451,0.144965176448523
"72x32",0.00709945511403683,0.97484304085332,0.000379963172852062
"30x22",0.280688259749595,0.00018618195469451,1.10733876332138
"26x30",0.161121776944827,0.000130327368286056,1.73978478147798
"1x37",0.000265974220992036,0.0724409311813301,0.982223917806342
"75x49",0.000542804532636814,0.730822691973759,0.303560300323957
"37x29",1.07949445085675,0.000130327368286086,0.286197913055112
"87x61",0.000379963172845767,0.000379963172845186,1.14118997134386
"76x44",0.000186181954692212,0.831641227465299,0.000186181954689321
"32x36",0.177803897629881,0.000401674949817427,0.93166393237767
"31x57",0.00199067272043305,0.99083104341765,0.000186181954692105
"82x28",0.00514818545316063,0.959526742862745,0.00026597422095925
"90x44",0.000379963172791871,0.851252770359376,0.0401854666844405
"16x60",0.000379963172844529,0.944624201918878,0.106350362175055
"39x19",0.00027879056774753,0.00026597422099203,1.65026710214937
"17x65",0.0012142100706308,0.894913662545622,0.0764110176171184
"71x31",0.0117751559498877,1.02670671819889,0.0281126478100086
"71x27",0.0111070606777155,0.997430349520483,0.000379963172841033
"17x17",0.163061753025632,0.00037996317284591,1.36220740826244
"48x52",0.00696127485980942,0.759803955435864,0.000379963172838138
"24x52",0.000130327368278446,1.02333657749598,0.000130327368284382
"99x59",0.463936907181104,0.000775435046624022,0.470775925983147
"87x53",0.000542804532636816,0.529219232578165,0.342540811215475
"39x51",0.00018618195465461,0.930161724692948,0.000186181954692109
"14x46",0.000379963172845773,0.122200251828393,0.675658040622505
"9x59",0.000542804532636818,0.860641614811342,0.173418092255511
"12x32",0.000379963172845773,0.000424370831207198,1.22035931811124
"57x55",0.000265974221035541,0.778944117990447,0.00496990586131479
"62x42",0.00460968990376157,0.999535526013643,0.016052011236866
"27x77",0.00037996317278428,0.798927467180509,0.0211682994724428
"37x41",0.00037996317284577,0.547991135671984,0.49669100532563
"81x45",0.000542804532567926,0.800999069894522,0.0183150753745679
"61x51",0.000379963172862316,0.866256691449962,0.00884990232878417
"49x53",0.000265974220958545,0.797627492506618,0.0111707884505908
"78x56",0.000379963172845777,0.215001549359859,0.804236766252299
"54x30",0.000265974220992039,0.69712085757793,0.251742564508897
"76x48",0.000542804532660479,0.745073710942489,0.190361237748636
"4x38",0.0792608491772937,0.000542804532636814,1.05878504872316
