"","Cancer","Stroma","Ductal","coordX","coordY"
"3x36",0.354081329828283,0.407282087317731,0.238636582853986,3,36
"3x37",0.268471932843543,0.499999301319387,0.231528765837071,3,37
"3x38",0.342157399222956,0.427155921703599,0.230686679073445,3,38
"3x39",0.293608919118198,0.543955626330789,0.162435454551014,3,39
"3x40",0.152627944404639,0.594312385569034,0.253059670026327,3,40
"3x41",0.265876468778318,0.520320898443701,0.213802632777981,3,41
"3x42",0.290882740404989,0.45028328272192,0.258833976873091,3,42
"3x43",0.240746187075306,0.528946118178742,0.230307694745953,3,43
"3x44",0.385820023543355,0.367683587995994,0.246496388460651,3,44
"3x45",0.335337929424334,0.399890828933037,0.264771241642629,3,45
"3x46",0.376570245950835,0.454271562205113,0.169158191844052,3,46
"3x47",0.260903532239453,0.413966905728517,0.32512956203203,3,47
"3x48",0.454748073791251,0.328267068401203,0.216984857807545,3,48
"3x49",0.26294634148156,0.438119313123387,0.298934345395053,3,49
"4x0",0.62596350947263,0.139234954907371,0.234801535619999,4,0
"4x1",0.595164008816076,0.269868027395568,0.134967963788356,4,1
"4x2",0.553041685597388,0.218550274426298,0.228408039976314,4,2
"4x3",0.651323744730283,0.143110584948038,0.205565670321678,4,3
"4x4",0.743306047215583,0.0856952476953433,0.170998705089074,4,4
"4x5",0.745999736356916,0.13659319506653,0.117407068576555,4,5
"4x6",0.723859936613944,0.125554731061593,0.150585332324463,4,6
"4x7",0.721272247380378,0.121324497227993,0.157403255391629,4,7
"4x8",0.741222346067477,0.102077587048679,0.156700066883845,4,8
"4x9",0.716062579466466,0.121096307769083,0.162841112764451,4,9
"4x10",0.736983490320215,0.113981024949188,0.149035484730598,4,10
"4x11",0.686258027287534,0.119702845079196,0.19403912763327,4,11
"4x12",0.709264135475406,0.11974767157217,0.170988192952424,4,12
"4x13",0.751024654195487,0.129212436398253,0.119762909406261,4,13
"4x14",0.706921220696626,0.140489316533436,0.152589462769938,4,14
"4x15",0.725516793363028,0.132373894193455,0.142109312443517,4,15
"4x16",0.729263985321425,0.114513171062841,0.156222843615735,4,16
"4x17",0.654659074357998,0.193030668009206,0.152310257632796,4,17
"4x18",0.682837070125028,0.220991126458657,0.0961718034163148,4,18
"4x19",0.532329104250667,0.288496713585621,0.179174182163712,4,19
