"","Ductal","Cancer","Stroma"
"2x17",0.0632085769069049,0.822466370186493,0.114325052906602
"2x18",0.078865981266738,0.618177464982559,0.302956553750703
"2x19",0.281424733204541,0.50549633920074,0.213078927594718
"2x20",0.0898352932279635,0.737344896493472,0.172819810278565
"2x21",0.187790560392924,0.519986435625487,0.292223003981589
"2x22",0.21142606894447,0.58861816066204,0.19995577039349
"2x23",0.182182165363809,0.514615268506433,0.303202566129758
"2x24",0.0841984190732175,0.655991421926903,0.25981015899988
"2x25",0.171555008032473,0.497556387601753,0.330888604365775
"2x26",0.157740490874196,0.54819337372283,0.294066135402974
"2x27",0.0878864408536479,0.523436998277792,0.38867656086856
"2x28",0.132798797297052,0.268834863581978,0.598366339120969
"2x29",0.253156464590329,0.486550134081468,0.260293401328202
"2x30",0.276847417636386,0.396032935995228,0.327119646368386
"2x31",0.156400713582448,0.330069190150576,0.513530096266977
"2x32",0.316810589305676,0.30522903667431,0.377960374020014
"2x33",0.16951686735404,0.385108445689597,0.445374686956363
"2x34",0.161709975443051,0.468749578894135,0.369540445662814
"2x35",0.109174639402791,0.568115897790529,0.32270946280668
"2x36",0.108187916629659,0.319450340460325,0.572361742910016
"2x37",0.431899966552614,0.294909446643459,0.273190586803927
"2x38",0.170936351721334,0.291782428927648,0.537281219351018
"2x39",0.347060123593488,0.246049763721938,0.406890112684574
"2x40",0.161650859718436,0.327482158571211,0.510866981710353
"2x41",0.401436907172558,0.192955826467932,0.40560726635951
"2x42",0.248847154940585,0.337548550340028,0.413604294719386
"2x43",0.171381585196651,0.218395045044192,0.610223369759157
"2x44",0.419632764731297,0.197093452507878,0.383273782760825
"2x45",0.329210277315099,0.258636708361767,0.412153014323134
"2x46",0.17851714844832,0.236664585716372,0.584818265835307
"2x47",0.121225386507787,0.267269240034738,0.611505373457475
"2x48",0.318015100781609,0.257512792601065,0.424472106617327
"2x49",0.297236627954146,0.257222791147247,0.445540580898607
"3x0",0.11527447464961,0.713508650087741,0.17121687526265
"3x1",0.214363656624137,0.78535668721634,0.000279656159522611
"3x2",0.106953229172721,0.877155500020669,0.0158912708066105
"3x3",0.167830038456875,0.816386502009038,0.0157834595340872
"3x4",0.11152065579055,0.845511849843984,0.0429674943654653
"3x5",0.0971612216697436,0.885537157702818,0.0173016206274384
"3x6",0.0469154515279193,0.928718849654074,0.0243656988180064
"3x7",0.0644747071586936,0.905515493396709,0.0300097994445977
"3x8",0.0347525720515556,0.961587839342701,0.00365958860574358
"3x9",0.0956895321888699,0.849239427991673,0.055071039819457
"3x10",0.169466711726422,0.802808927836395,0.0277243604371824
"3x11",0.077997773234004,0.909202901886398,0.0127993248795981
"3x12",0.042802202130982,0.876586466100132,0.0806113317688857
"3x13",0.0947757205409721,0.863845745138164,0.0413785343208638
"3x14",0.0672365397510498,0.888402101536004,0.0443613587129459
"3x15",0.0967918290982497,0.834331683867897,0.0688764870338533
"3x16",0.0533816616872449,0.815714949008016,0.130903389304739
