,region_ind,region,gene,lfc,pval,padj
13404,1,blue,Ifit3b,0.10864266,4.626667202447301e-15,2.6353496384792634e-11
13405,1,blue,Ifit1bl2,-0.5428506,0.6190885425197307,1.0
13406,1,blue,Ifit1,0.0053370567,2.653793896408371e-53,2.4980161946891996e-49
13407,1,blue,Kif20b,-0.4266445,4.714644496914143e-39,3.824519615896753e-35
13408,1,blue,Htr7,0.25146666,0.5980956428749392,1.0
13409,1,blue,Rpp30,-0.29591092,6.537898149019284e-99,8.741169825238783e-95
13410,1,blue,Ankrd1,2.196582,0.6432569375883842,1.0
13411,1,blue,Pcgf5,-0.23596467,1.4596961223718543e-77,1.7142671261135056e-73
13412,1,blue,Hectd2,0.17162135,0.20240679150516605,1.0
13413,1,blue,Tnks2,-0.18020467,3.890665035280368e-93,5.0819866690832164e-89
13414,1,blue,Fgfbp3,-0.1642334,2.1813215781033998e-06,0.009808978011324555
13415,1,blue,Btaf1,0.23071562,1.2967043621218225e-39,1.0588887821086803e-35
13416,1,blue,Cpeb3,0.687186,0.7396471390460015,1.0
13417,1,blue,March5,-0.07711703,5.714454091801507e-94,7.489934978124235e-90
13418,1,blue,Ide,0.7020254,3.5107883221443925e-53,3.3004921016479435e-49
13419,1,blue,Kif11,-0.028886875,3.797079532805242e-79,4.518144936084958e-75
13420,1,blue,Hhex,0.32777932,4.595608781157142e-07,0.0021250466780341442
13421,1,blue,Exoc6,-0.11653615,4.631038981709418e-21,2.9476563118580444e-17
13422,1,blue,Cyp26a1,-0.30720636,0.7021518354551393,1.0
13423,1,blue,Myof,-0.11557708,3.471776342159719e-33,2.615289118548916e-29
13424,1,blue,Cep55,-0.40348548,4.80776771468337e-97,6.383753971556578e-93
13425,1,blue,Ffar4,0.38782236,0.7336238884377174,1.0
13426,1,blue,Rbp4,-0.55939263,1.7216126012263337e-118,2.3949352895659526e-114
13427,1,blue,Fra10ac1,-0.0007400591,9.868422556767794e-47,8.673356585143215e-43
13428,1,blue,Slc35g1,-0.6682414,2.2111283300829725e-23,1.4573546823576873e-19
13429,1,blue,Noc3l,0.017700123,3.284664573657276e-42,2.7620744399884033e-38
13430,1,blue,Tbc1d12,0.32458806,8.533699360074209e-06,0.03677003978829385
13431,1,blue,Hells,-0.45381004,1.1305754637356341e-83,1.3956954099816404e-79
13432,1,blue,Pdlim1,0.058274362,3.246471026495085e-69,3.5477435377538285e-65
13433,1,blue,Sorbs1,0.21890108,0.21237442610102975,1.0
13434,1,blue,Aldh18a1,-0.12008411,2.8517423925018573e-92,3.709546504166416e-88
13435,1,blue,Tctn3,0.2972912,2.5933131294305964e-13,1.4322868403589813e-09
13436,1,blue,Entpd1,1.203543,5.088443893451224e-24,3.385341722313099e-20
13437,1,blue,Ccnj,0.60193634,0.0004518511350082052,0.8338988453684153
13438,1,blue,Zfp518a,0.7061902,7.722009539146977e-09,3.810739111775035e-05
13439,1,blue,Blnk,0.69055593,2.1010437197834948e-07,0.0009870032435926638
13440,1,blue,Tm9sf3,-0.05235762,2.346653530726396e-34,1.7965979431241287e-30
13441,1,blue,Pik3ap1,0.005657441,9.162364938992665e-76,1.0597191288438917e-71
13442,1,blue,Lcor,-0.0072370935,0.4270567094415817,1.0
13443,1,blue,Slit1,0.022915175,0.000765859410422148,0.9495730682428071
13444,1,blue,Arhgap19,0.27623773,2.0442400422284132e-29,1.4655156862735494e-25
13445,1,blue,Frat2,0.77634376,0.05154323110471245,1.0
13446,1,blue,Rrp12,0.23517048,2.598242673448068e-62,2.6590415520067527e-58
13447,1,blue,Pgam1,-0.12994342,1.5465770519539885e-09,7.769972928629271e-06
13448,1,blue,Exosc1,-0.31413364,8.565965588432216e-105,1.1662562148650462e-100
13449,1,blue,Zdhhc16,0.47239125,1.5392260826274982e-60,1.5475379034736867e-56
13450,1,blue,Mms19,0.16328359,3.988170048395277e-85,4.974045684358589e-81
13451,1,blue,Ubtd1,0.23891708,2.4805275471013934e-56,2.4011506655941487e-52
13452,1,blue,Hoga1,-0.059700117,0.04938124136626685,1.0
13453,1,blue,Pi4k2a,0.5947925,8.597230627334742e-56,8.283431709437023e-52
13454,1,blue,Avpi1,-0.020698933,4.169989798958802e-99,5.578195354067189e-95
13455,1,blue,Marveld1,1.2280449,1.4938368347618259e-30,1.0867662972892284e-26
