"","cell_ID","Ductal","Cancer","mDCs","Macrophages","Mast","Monocytes"
"95","1x44",0.355856399640147,0,0.441367221088624,0.20277637927123,0,0
"96","1x45",0.121758941526225,0.320164915580766,0.44725304741212,0,0.11082309548089,0
"97","1x46",0.172537958101767,0.366662544214877,0,0,0.160950375925546,0.29984912175781
"98","1x47",0.250179527524606,0.184604603459399,0.156006162020142,0.289162270924476,0,0.120047436071378
"99","1x48",0.56153438363586,0.1979165794371,0,0.240549036927039,0,0
"100","1x49",0.105029130418753,0.427196444100398,0.277508229046996,0,0.190266196433854,0
"101","2x0",0,1,0,0,0,0
"102","2x1",0,0.870970537647129,0.129029462352871,0,0,0
"103","2x2",0,1,0,0,0,0
"104","2x3",0,1,0,0,0,0
"105","2x4",0.160597044628003,0.839402955371997,0,0,0,0
"106","2x5",0.129329152857006,0.753536918572152,0,0.117133928570842,0,0
"107","2x6",0.16284463761907,0.296315857030657,0.182179317267412,0.200649971059704,0.158010217023156,0
"108","2x7",0,1,0,0,0,0
"109","2x8",0,1,0,0,0,0
"110","2x9",0,1,0,0,0,0
"111","2x10",0,1,0,0,0,0
"112","2x11",0,1,0,0,0,0
"113","2x12",0,1,0,0,0,0
"114","2x13",0,0.161092767137924,0.211748744711267,0.465715149499781,0.161443338651027,0
"115","2x14",0,1,0,0,0,0
"116","2x15",0,1,0,0,0,0
"117","2x16",0,0.605207919667888,0.229985620035523,0.164806460296589,0,0
"118","2x17",0,0.885608947307291,0.114391052692709,0,0,0
"119","2x18",0,0.745693390133341,0,0.254306609866659,0,0
"120","2x19",0.346615202589218,0.492783759298379,0,0.160601038112402,0,0
"121","2x20",0,1,0,0,0,0
"122","2x21",0.181639793144853,0.550227095796823,0,0,0.268133111058324,0
"123","2x22",0.191357254239335,0.623469161883267,0,0.185173583877399,0,0
"124","2x23",0.171623116530905,0.47128270991868,0.139135767370054,0.217958406180361,0,0
"125","2x24",0,0.693261412197325,0.150720168340629,0,0.156018419462046,0
"126","2x25",0.163523934969776,0.469184494599838,0.18898566437707,0.178305906053316,0,0
"127","2x26",0.165057705729315,0.534150825294252,0.16309115761495,0,0.137700311361484,0
"128","2x27",0,0.475081411986072,0,0.318438190794095,0,0.206480397219832
"129","2x28",0,0.283744469765561,0,0.359635563151271,0.356619967083167,0
"130","2x29",0.271998671621758,0.496865100302763,0.231136228075479,0,0,0
"131","2x30",0.307497842614695,0.286404038602611,0,0,0.132475906522333,0.273622212260361
"132","2x31",0.207942587285419,0.255522774905696,0.36688021839046,0.169654419418426,0,0
"133","2x32",0.34492426779536,0.169741530128398,0,0.304779783162432,0,0.18055441891381
"134","2x33",0.157745190350238,0.341902274491733,0,0.316465495173508,0.183887039984521,0
"135","2x34",0.200683758698666,0.367283956692148,0,0.306159333180734,0.125872951428452,0
"136","2x35",0.112519331886648,0.60319663096347,0.184580568807548,0.0997034683423329,0,0
"137","2x36",0,0.337763635366171,0.330734558948999,0.33150180568483,0,0
"138","2x37",0.527542969857703,0.173581727911031,0.160482767874038,0,0.138392534357228,0
"139","2x38",0.221157590174756,0.187993282212608,0,0.418673827199231,0.172175300413405,0
"140","2x39",0.397720609770337,0.172455441525922,0.111528675146051,0.318295273557689,0,0
"141","2x40",0.222900336791229,0.201776516196891,0,0.423767813372543,0,0.151555333639336
"142","2x41",0.439353965781299,0.104645457768073,0.113339132734462,0.342661443716166,0,0
"143","2x42",0.274348277660175,0.224001451051731,0.13177370829319,0.264024898084181,0.105851664910723,0
"144","2x43",0.228733085320351,0.0965678041400366,0.429630526976817,0.245068583562795,0,0
"145","2x44",0.567442786594891,0,0.259965119717643,0,0.172592093687466,0
"146","2x45",0.339347162724927,0.261470953704037,0.200417722422772,0.198764161148265,0,0
"147","2x46",0.129786931457838,0.207115534880196,0.258477561081425,0.194798358790318,0.209821613790223,0
"148","2x47",0.232916233098042,0,0.0992592325957047,0.472458122376622,0.195366411929632,0
"149","2x48",0.377673146040776,0.162031788687708,0,0.227039852751507,0.233255212520009,0
