"","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"40x5",0.443222388054354,0.257894169444971,0,0.00162047527105726,0.223286914103315,0.0402692582219348,0.0337067949043677,0
"40x6",0.392274498699988,0.231817651820983,0.08852198278569,0.104456577307072,0.0420855007537976,0,0.135641325998829,0.00520246263364146
"40x7",0.446928724089701,0.25607243465523,0.018310841719301,0.0268238423030657,0.0373731742623095,0.0131628385543821,0.18883896769483,0.0124891767211814
"40x8",0.429357881770657,0.226940513998954,0.0887207078259538,0.0445093195347246,0.0454843684838784,0.00505350317131329,0.10895898962888,0.0509747155856388
"40x9",0.460170725810943,0.136323883449054,0.0615739469221632,0.14154005701722,0,0,0.0954671215705181,0.104924265230102
"40x10",0.410417329239226,0.0753650856891508,0.144037412654047,0.036137741488504,0.246626065213847,0.0329743761450542,0.0544419895701709,0
"40x11",0.710130290972428,0.138948195740608,0.0441271863086987,0.0650524229234519,0,0,0.0417419040548134,0
"40x12",0.477556269147975,0.127331465053899,0,0.108495632957006,0.0760541536543471,0.103666006435425,0.0962707399829828,0.0106257327683644
"40x13",0.519072831710895,0.133803632021861,0.124766818531786,0.0896933264810312,0.00107839742170484,0.0380903976867673,0.0712822139721337,0.0222123821738205
"40x14",0.522050975312555,0.089534569828126,0,0.0691267354726819,0.157000733395913,0.033369594727844,0.128733705673025,0.000183685589855327
"40x15",0.44516957022936,0.267567948337051,0,0.0671803519278698,0.0261225188061922,0.0534101512457227,0.140549459453805,0
"40x16",0.732791551911779,0.0670822662757508,0.0032014009451263,0.0813527386506545,0,0.0128800783340553,0.0767967523985886,0.0258952114840454
"40x17",0.653196523022585,0.080023031401432,0,0.0926186112368623,0,0.0557254561374892,0.118436378201632,0
"40x18",0.745068765151753,0.0422741491102081,0,0.0277019463372472,0,0.0456818474239031,0.139273291976888,0
"40x19",0.722759066405489,0.0443737477482607,0,0.0735858147266568,0,0.019401712997707,0.139879658121887,0
"40x20",0.861154431516659,0.00339288315924375,0.000866340462227284,0.0457696966717473,0,0.051994576009166,0.0040793541055937,0.032742718075363
"40x21",0.800819067039734,0.00401763773531945,0,0.0448504728611132,0,0.000595930536058743,0.149716891827774,0
"40x22",0.646667486660463,0.0759402138592675,0,0.0659197061571161,0,0.0270785851256304,0.184394008197523,0
