	Macrophages	Mast	Monocytes	mDCs
4x43	0.13070102	0.032891504	0.4166339	0.41977358
4x44	1.0217385e-11	1.617066e-12	0.56753343	0.4324665
4x45	0.18964289	0.18385974	0.36995167	0.25654563
4x46	0.08690889	0.18513617	0.4658758	0.26207915
4x47	0.117733784	0.18287805	0.40595594	0.29343224
4x48	0.17390461	0.18410447	0.35259935	0.28939155
4x49	0.15535747	0.14322227	0.45540965	0.24601062
5x0	0.22285958	0.17208293	0.26667535	0.33838212
5x1	0.0593557	0.3001777	0.2667154	0.3737512
5x2	0.16178639	0.23238823	0.31359473	0.2922306
5x3	0.16050288	0.20415401	0.31701827	0.31832483
5x4	0.15437981	0.24698274	0.31337819	0.28525928
5x5	0.13417765	0.21779816	0.2945606	0.35346362
5x6	0.14599864	0.24917652	0.3300287	0.2747962
5x7	0.17080367	0.22196326	0.2868682	0.32036492
5x8	0.16279149	0.26431918	0.29449922	0.2783901
5x9	0.16933508	0.17252262	0.30074787	0.35739443
5x10	0.13456967	0.22677909	0.344416	0.29423526
5x11	0.16433927	0.22511491	0.30475762	0.30578813
5x12	0.17333584	0.25123796	0.27677754	0.29864866
5x13	0.13492514	0.2453123	0.26038918	0.35937342
5x14	0.1505293	0.23819718	0.28898168	0.3222919
5x15	0.13383402	0.19589218	0.41876101	0.2515128
5x16	0.17769833	0.22300136	0.31205407	0.28724623
5x17	0.15594935	0.25134915	0.31882116	0.27388033
5x18	0.14862463	0.22376904	0.29437944	0.3332269
5x19	0.14085642	0.22514036	0.3042399	0.3297633
5x20	0.121122845	0.17351288	0.37104177	0.33432245
5x21	0.08394222	0.21938547	0.32416958	0.37250274
5x22	0.12287681	0.18123484	0.29015154	0.40573677
5x23	0.13539726	0.15986606	0.28489396	0.4198427
5x24	0.11574796	0.26226166	0.27883342	0.34315693
5x25	0.21101001	0.030659316	0.37602308	0.38230756
5x26	0.16631114	0.16740486	0.43910012	0.22718388
5x27	0.17799278	0.122555874	0.3627379	0.33671346
5x28	0.055407252	3.638174e-12	0.5849719	0.35962084
5x29	5.7386648e-12	0.12875056	0.48441926	0.3868302
5x30	0.0933497	0.2357364	0.22414751	0.44676635
5x31	0.3093952	0.085683	0.40603134	0.19889055
5x32	0.22135614	0.2561418	0.33345866	0.18904333
5x33	0.21489613	0.15975839	0.4418013	0.18354416
5x34	0.12796246	0.21771008	0.3265666	0.32776093
5x35	0.1494167	0.13920398	0.423749	0.28763026
5x36	0.13320817	0.06768569	0.38165137	0.41745475
5x37	0.1767827	0.13342333	0.53092116	0.15887283
5x38	0.17189498	0.16847034	0.45273533	0.2068994
5x39	0.19333439	0.21557654	0.313822	0.277267
5x40	0.27523702	0.02810143	0.3195122	0.37714934
5x41	0.05913843	0.12749821	0.28916684	0.52419657
5x42	0.110772334	1.3510786e-11	0.6314961	0.25773156
5x43	0.16802886	0.13515179	0.428416	0.26840338
5x44	0.1408764	0.1786079	0.32689998	0.35361576
5x45	0.21004102	0.14311078	0.31341094	0.33343726
5x46	0.17978962	0.20473723	0.29855993	0.31691313
5x47	0.18330716	0.24725766	0.43933642	0.13009873
5x48	0.08746819	0.16588242	0.3239323	0.42271706
5x49	0.21270679	0.21801998	0.37737793	0.19189528
6x0	0.17587472	0.23380387	0.28932518	0.3009962
6x1	0.120998636	0.21283072	0.31345937	0.35271126
6x2	0.15171921	0.2239128	0.32065874	0.30370924
6x3	0.17647354	0.22387847	0.3169468	0.28270116
6x4	0.13843606	0.22794981	0.336141	0.2974732
6x5	0.13415428	0.2228686	0.28699088	0.35598627
6x6	0.1977294	0.2181302	0.32968238	0.25445798
6x7	0.092421986	0.2417336	0.37903112	0.28681326
6x8	0.13335879	0.22533417	0.24851276	0.39279434
6x9	0.13945648	0.18366481	0.2857695	0.39110926
6x10	0.12338453	0.20760736	0.30656764	0.36244047
6x11	0.18731436	0.27339688	0.3121148	0.22717397
6x12	0.15437347	0.26012456	0.26089174	0.32461026
6x13	0.12914032	0.2649934	0.3023305	0.30353588
6x14	0.18771395	0.07628719	0.40817857	0.32782033
6x15	0.12492403	0.23905127	0.2809347	0.35508996
6x16	0.16602847	0.27792197	0.269155	0.28689453
6x17	0.1483837	0.25265795	0.2557939	0.34316444
6x18	0.123192534	0.1411517	0.2912866	0.44436917
6x19	0.14078261	0.22868432	0.29653406	0.33399895
6x20	0.12647134	0.21575361	0.31899488	0.33878013
6x21	0.13954672	0.2410281	0.3800516	0.23937355
6x22	0.13005868	0.24543498	0.2548694	0.36963692
6x23	0.14487727	0.25800002	0.2478191	0.34930366
6x24	0.14257653	0.24059673	0.36275896	0.25406778
6x25	0.25547573	0.18649925	0.39577442	0.16225056
6x26	0.15514506	0.05401637	0.4144889	0.3763496
6x27	0.17620932	0.18166378	0.353549	0.28857794
6x28	0.19863018	0.19363575	0.39527708	0.21245705
6x29	0.18901527	0.23444994	0.37058768	0.2059471
6x30	0.2855358	0.0047498755	0.32905018	0.38066414
6x31	0.17239684	0.1428558	0.31256476	0.37218258
6x32	0.24734017	0.05988392	0.449725	0.2430509
6x33	0.19473459	0.18152173	0.3507465	0.2729972
6x34	0.18016075	3.493297e-12	0.6004858	0.21935342
6x35	0.12832615	0.11827212	0.38013974	0.373262
6x36	0.08947329	0.38927168	0.3111141	0.21014087
6x37	0.25474218	0.18254034	0.42150486	0.14121257
6x38	0.15738413	0.22409801	0.47066796	0.14784995
6x39	0.12760195	0.22224914	0.38004577	0.27010313
6x40	0.23414728	0.086255185	0.35602388	0.32357374
6x41	0.16137736	0.09806121	0.26285964	0.47770178
6x42	0.13135782	0.0019050722	0.5092039	0.3575332
6x43	0.15690358	0.12746789	0.36169404	0.3539345
6x44	0.12101041	0.1829393	0.32957253	0.36647782
6x45	0.1296664	0.1441602	0.3678038	0.35836956
6x46	0.1737992	0.004973924	0.43182105	0.38940585
6x47	0.12496041	0.23904982	0.31345466	0.32253513
6x48	0.1721771	0.1479869	0.36900523	0.31083077
6x49	0.05958453	0.14241152	0.47697127	0.32103264
7x0	0.17100692	0.2411715	0.27918345	0.3086382
7x1	0.16575554	0.23955926	0.2956181	0.2990671
7x2	0.12415754	0.23781657	0.27392447	0.36410144
7x3	0.2080583	0.14071096	0.382571	0.26865968
7x4	0.14289609	0.32799387	0.3234068	0.20570321
7x5	0.17438458	0.24026719	0.28530103	0.3000472
7x6	0.06467214	0.22561201	0.34498146	0.36473432
7x7	0.11732466	0.23130707	0.32447398	0.32689425
