	Macrophages	Mast	Monocytes	mDCs
5x37	0.04943035	4.0251575e-13	0.09104707	0.8595226
5x38	0.24907243	6.0227577e-13	0.16789779	0.5830298
5x39	0.12598859	5.8287305e-13	0.12647696	0.74753445
5x40	0.29905006	6.625472e-13	0.14612985	0.5548201
5x41	0.2813562	3.965097e-13	0.03832604	0.68031776
5x42	0.2727435	5.4158316e-13	0.09975853	0.62749803
5x43	0.16576985	3.7813833e-13	0.092450276	0.7417799
5x44	0.20316362	3.2205052e-13	1.2218257e-12	0.7968364
5x45	0.19232793	6.8223167e-13	5.7435346e-12	0.8076721
5x46	0.42049003	0.31618813	0.05320929	0.21011254
5x47	0.2876918	9.48757e-13	0.0997308	0.6125774
5x48	0.1113234	7.228016e-13	9.197993e-12	0.8886765
5x49	0.29065394	0.51221997	0.19712605	2.2342878e-12
6x0	2.895935e-11	5.194948e-12	1.0	1.3029247e-11
6x1	1.2913385e-11	1.7405444e-12	0.056873072	0.9431269
6x2	0.31377232	0.17412205	0.2441951	0.26791057
6x3	0.37829635	0.060190503	0.4452976	0.11621557
6x4	0.27377224	0.21783441	0.259146	0.24924728
6x5	0.36542252	0.1695895	0.24566928	0.21931864
6x6	0.6299852	1.2715597e-12	0.24534167	0.12467306
6x7	0.15796588	0.17619671	0.010265618	0.6555718
6x8	0.33568922	0.19834112	0.17580764	0.29016203
6x9	0.33007672	0.17599761	0.2262994	0.26762623
6x10	0.27093384	0.17780209	0.24685986	0.3044042
6x11	0.32885283	0.18950279	0.26809847	0.21354584
6x12	0.3060008	8.160572e-12	0.6939992	1.9942815e-11
6x13	0.39280885	0.14012977	0.2976682	0.16939317
6x14	0.22950365	3.0984013e-13	0.07765654	0.69283974
6x15	0.34337047	0.17784357	0.22355138	0.25523454
6x16	0.33718875	0.20205131	0.24611965	0.21464032
6x17	0.3665269	0.17541966	0.18081763	0.27723584
6x18	0.054001506	8.495971e-13	0.04349105	0.9025074
6x19	0.31883195	0.17563163	0.2864338	0.2191026
