	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
4x24	0.4461191	0.092711136	1.9859598e-11	0.31442088	0.014661761	0.13208705
4x25	0.29719567	0.19083071	0.14542215	0.12749204	0.08240067	0.15665872
4x26	0.31798503	0.15664086	2.5161706e-10	0.07777812	0.050642572	0.39695346
4x27	0.20550431	0.20348266	8.060511e-06	0.17989409	0.1302353	0.28087556
4x28	0.31359142	0.17409106	0.044837005	0.18760201	0.018605413	0.26127312
4x29	0.22654653	0.19764295	0.10298614	0.16251816	0.046882436	0.2634238
4x30	0.26964936	0.20388235	0.12380444	0.13585253	0.106024034	0.16078725
4x31	0.07507052	0.37800357	0.07899436	9.648839e-12	0.062295105	0.40563643
4x32	0.18168208	0.32146332	0.1674191	2.2552129e-11	0.122695	0.20674047
4x33	0.1894242	0.30175868	0.09337611	0.18758187	0.038899142	0.18895999
4x34	0.18473063	0.24056691	0.05997281	0.124918774	0.041895203	0.3479157
4x35	0.29520437	0.19137767	0.005304533	0.007426581	0.0465617	0.45412523
4x36	0.22558032	0.23118845	0.14693263	0.03012458	0.0887249	0.2774491
4x37	0.23566388	0.23355144	0.13217683	0.22002669	0.08659785	0.09198326
4x38	0.1733083	0.28858992	0.1080175	0.2425776	0.000111323716	0.18739536
4x39	0.22490545	0.20781924	0.1828716	1.1342505e-11	0.05266245	0.33174133
4x40	0.2017971	0.19008261	0.04159508	0.2918872	0.06680904	0.20782898
4x41	0.24262005	0.27108076	0.035724465	0.37163574	0.0047613797	0.07417761
4x42	0.23534736	0.20671043	0.17318901	0.06359413	0.09549003	0.22566898
4x43	0.35782722	0.104498066	0.11857512	0.008545117	0.05719559	0.35335883
4x44	0.10826301	0.28371325	0.10127273	1.6305278e-10	0.053046595	0.45370442
4x45	0.22600262	0.23370096	0.1505586	0.09779149	0.10620427	0.18574205
4x46	0.114578374	0.37927678	0.10278659	1.6233033e-10	0.084321454	0.31903672
4x47	0.22987849	0.32615414	0.019969886	8.9429936e-11	0.18633923	0.2376582
4x48	0.15580322	0.2077017	0.12741528	0.062203173	0.064712755	0.38216394
4x49	0.17483458	0.3267358	0.18398684	0.2140887	0.10035412	3.2702916e-12
5x0	0.60019433	5.7877633e-11	0.1926749	9.4581626e-12	0.068090186	0.1390405
5x1	0.54630286	0.07062471	0.15477458	3.126248e-11	0.087632544	0.1406654
5x2	1.0	4.50721e-12	3.5534663e-12	4.3357986e-12	4.7463374e-12	2.2302269e-12
5x3	0.9255299	1.0674807e-11	0.07447006	7.98709e-12	2.6744624e-12	3.6104609e-12
5x4	1.0	1.1030167e-11	7.123078e-12	7.2450964e-12	2.213384e-12	3.0586e-12
5x5	1.0	8.50736e-12	2.997355e-12	2.1246982e-11	2.2620432e-12	3.7259948e-12
5x6	0.49843118	2.0403472e-11	0.087422915	0.11810904	0.051347915	0.24468902
5x7	1.0	1.17117175e-11	3.4933115e-12	3.0308765e-12	3.6631943e-12	2.157115e-12
5x8	1.0	7.673228e-12	3.018361e-12	3.851004e-12	1.6850927e-12	2.1656836e-12
5x9	1.0	8.476074e-12	3.9804835e-12	4.599817e-12	2.5897646e-12	3.0642617e-12
5x10	1.0	8.2194425e-12	3.3619414e-12	6.1402003e-12	2.16698e-12	3.7313087e-12
5x11	1.0	8.398185e-12	2.1700285e-12	2.98587e-12	1.9689038e-12	2.0265853e-12
5x12	1.0	6.319714e-12	5.870275e-12	8.045415e-12	1.8309375e-12	3.5167526e-12
5x13	1.0	5.993017e-12	3.1785356e-12	4.7882948e-12	2.6251757e-12	2.3160553e-12
5x14	1.0	6.8005306e-12	4.016038e-12	4.485541e-12	2.5068337e-12	3.3027405e-12
5x15	1.0	4.5323216e-12	4.3568872e-12	9.536285e-12	3.1415677e-12	2.7911536e-12
5x16	1.0	8.66867e-12	2.9200023e-12	2.9849523e-12	1.8154688e-12	1.8967146e-12
5x17	1.0	6.1098487e-12	4.248174e-12	6.6855974e-12	1.9689862e-12	3.304117e-12
5x18	0.3297303	0.23275888	2.5923624e-10	0.024817914	0.049670987	0.36302197
5x19	0.60011595	0.028754033	0.014516826	6.0258462e-06	0.031320352	0.32528684
5x20	0.6188838	0.1560168	0.08580908	1.7887568e-11	0.13929032	1.460869e-10
5x21	0.54247034	7.536689e-12	0.13564439	0.04128393	0.06646166	0.21413967
5x22	0.34249514	0.18616986	0.13946973	0.05537214	0.052208982	0.22428407
5x23	0.30099386	0.16819337	1.458677e-10	0.03098817	0.053215034	0.44660953
5x24	0.3002884	0.19788341	0.04575592	0.18123965	0.049065042	0.22576754
5x25	0.3016531	0.16174658	0.111804515	0.032693382	0.074974485	0.3171279
5x26	0.36810744	0.12338891	0.11392429	0.024313394	0.19110638	0.17915958
