"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes","pDCs","T"
"16x13",0.979391627110494,7.45110722921289e-05,6.9818233010396e-05,6.98182325638081e-05,0.000579111768681785,6.9818233011131e-05,6.98182330104076e-05,6.98182330811158e-05
"16x14",0.956516830255522,7.88028452664364e-05,6.98182330104106e-05,6.98182333202643e-05,0.00750482226366716,0.000662518506658995,6.98182330104105e-05,6.98182330104104e-05
"16x15",0.460813871723343,0.000142486189817165,0.0458311871526575,0.000142486190821946,0.403488443217106,0.0285496617905081,0.000142486189817164,0.000142486188917304
"16x16",0.684513568383776,0.000142486189817163,0.0816892267334088,0.000142486194898889,0.15187860835129,0.0105087620070844,0.000142486189817164,0.000142486189817164
"16x17",0.696638790747757,0.0623602855219518,0.064894415273191,9.97403353886342e-05,0.14647105564579,9.9740332872015e-05,9.97403328720152e-05,9.97403328720155e-05
"16x18",0.758497380722572,0.0149092745521857,0.0224644650892291,9.9740333197252e-05,0.141877836213737,9.9740332872807e-05,9.97403328720143e-05,9.97403328720149e-05
"16x19",0.567614690034671,0.000151296086931727,0.0663284478258927,0.122378139816697,0.229566324297123,0.000142486189817164,0.000142486189817164,0.000142486189817165
"16x20",0.600322675179812,0.0138528933758681,0.100664678403556,9.97403400743252e-05,0.145402085693614,0.0678113182971387,9.97403328720141e-05,9.97403324632761e-05
"16x21",0.387470838052356,0.000203551699738806,0.313237285724091,0.000203551690829336,0.158661188765712,0.0500176386934688,0.0195059904779879,0.000203551699738807
"16x22",0.275153213483698,0.210219835336823,0.0010750377287725,0.00020355169941827,0.406968224173102,0.0563601474460813,0.000203551699738806,0.00687513742620615
"16x23",0.0446304044408826,9.97403328720152e-05,0.327010167700924,9.97403313311736e-05,0.520047278130595,0.0310193575445288,0.000101406562674809,9.97403326257384e-05
"16x24",9.97403328720151e-05,9.97403328720154e-05,0.147746417234319,0.064416840441692,0.670355911469619,0.0773243804864824,9.97403328720151e-05,9.97403315346167e-05
"16x25",0.000142486189817164,0.000856821906394317,0.11221877884933,0.170251125214717,0.637240942950699,0.0262941459600563,0.000142486189817166,0.000142486189707191
"16x26",9.97403328720157e-05,9.97403328720149e-05,0.453524831816352,9.97403344764512e-05,0.44670750354067,0.0582207001566269,9.9740332872015e-05,9.97403328720144e-05
"16x27",0.020717608916508,0.0121125112092099,0.0401753164871999,0.00014248619262851,0.394525267812333,0.414856663480225,0.0397518649650662,0.00014248618981716
"16x28",0.000142486191387529,0.000142486189817165,0.0857904757812059,0.0959922919937599,0.510439488263326,0.254658134460235,0.000142486189817164,0.000142486188890434
"16x29",0.000142486189817164,0.000142486189817165,0.297970176618181,0.149875461366605,0.476863013716326,0.00445179877952134,0.000142486189817163,0.00251825764526814
"16x30",0.000203551699738804,0.000203551699738806,0.305974521478336,0.221838892591848,0.193829861671639,0.212109135098051,0.0131456965851973,0.000203551699738807
"16x31",0.00137296727651921,0.000142486189817163,0.333535878299019,0.145184456186433,0.398217870262782,0.0805371966444599,0.000142486189817164,0.000142486190012643
"16x32",9.97403328720154e-05,9.97403328720148e-05,0.664740065054392,0.206024581044906,0.000188736863518828,0.0817472395242267,9.97403328720233e-05,9.97403328720151e-05
"16x33",0.000203551699738806,0.000620454583433599,0.150390846434392,0.118000301231153,0.504620396821286,0.143868473552832,0.000203551699738806,0.000203551699738807
"16x34",9.9740332872015e-05,9.97403328720149e-05,0.275780238817511,9.97403358276627e-05,0.633987761822868,0.0696652752642003,9.9740332872016e-05,9.97403326284297e-05
"16x35",0.00014248618981718,0.000142486189817169,0.399774993835891,0.137772652798084,0.361074368467708,0.0108623131173337,0.00444326169001541,0.00529656994625776
"16x36",0.000142486189817164,0.000142486189817164,0.302040521628727,0.164081523141481,0.383182086836045,0.0967013191891916,0.0069153851335088,0.000142486189980033
"16x37",0.11879128887787,0.0084641693569734,0.505643302620082,0.159332344270925,0.141965636265288,0.0351518537400194,0.00142670510791464,0.000203551699738805
"16x38",0.000290788142484009,0.227393106227674,0.311207053583086,0.14653510178166,0.17372921379622,0.0776018796958612,0.011261497159641,0.0112127827110456
"16x39",0.0805871552678555,0.000142486189817164,0.524042882602291,0.000142486190917974,0.310185485989582,0.000142486189817159,0.000142486189817164,0.000142486189817157
"16x40",0.0695846919679065,0.278950952715403,0.239691081871631,0.117481317472146,0.255107947063434,0.000203551699738806,0.000203551699738806,0.000203551699738806
"16x41",0.102304873372293,0.0247325779319985,0.118937391359536,0.000142486190889439,0.695267684391649,0.000142486189817164,0.00756780037650021,0.000142486189817169
"16x42",0.044659842214548,0.390201426424856,0.0803006532802798,0.00014248618213931,0.238664961254179,0.120400651491057,0.000142486189817164,0.000142486189817165
"16x43",0.154173084200624,0.090164309518947,0.0163949947400446,0.367640968312422,0.206092282884998,0.111806394371226,0.000290788142484009,0.00899499399869152
"16x44",0.311261381784626,0.0820184291936328,0.23735951597119,0.000203551690781067,0.320235635354661,0.0164996030503752,0.000203551699738805,0.000203551699738804
"16x45",0.126276314176089,0.255425651332468,0.000203551699738806,0.231362025996985,0.24512367844979,0.0779585039297922,0.000203551699738805,0.000203551699738807
"16x46",0.314415533867869,0.116511759738415,0.272236051200846,0.000142486190944639,0.230878998084533,0.000142486189817164,0.000142486189817164,0.000142486189817164
"16x47",0.193477266608921,0.199728978527077,0.0742650727816558,0.0879044330453969,0.324175078545389,0.0791709471689175,0.0151654910184611,0.000290788142484008
"16x48",0.0685391963073453,0.319033671572505,0.203872326816007,0.000142486195246666,0.368538790864008,0.00881209979175364,0.000142486189817164,0.000142486189817165
"16x49",0.172870057973218,0.282505953033408,0.137846466363989,0.193917460479867,0.000290788142484009,0.0920209305049213,0.0316409950506307,0.000290788142484005
"17x0",0.868503210852053,0.00898541794175659,0.0629160957042413,6.98182310632374e-05,0.0342074758866649,6.98182330104105e-05,0.00384265604759936,0.00107699354018712
"17x1",0.652006221232459,0.154468788629259,9.97403328720146e-05,0.173447723257232,9.97403328720154e-05,9.97403328748449e-05,0.00729383652133747,9.97403328720247e-05
"17x2",0.805745681659225,0.073622298428422,6.98182330104101e-05,6.98182332904001e-05,0.071575057046012,6.98182330104112e-05,6.9818233010412e-05,6.98182330104059e-05
"17x3",0.973105630375695,8.70446469435739e-05,6.98182329243456e-05,6.98182331901269e-05,6.98182330100339e-05,6.98182330104088e-05,6.98182330104119e-05,6.98182328631421e-05
