"","Cancer","Ductal","mDCs","Macrophages","Mast","Monocytes"
"2x0",0.849641999735321,0.000683153056518141,0,0.0194947670459302,0.129762360149977,0.000417720012252979
"2x1",0.885505204934334,0,0.0579315681203255,0.00759184692688673,0.0489713800184534,0
"2x2",0.824790475357646,0.12222810589512,0,0.0370385850902654,0.0159428336569691,0
"2x3",0.897120578055733,0.0725519161431847,0,0,0.0303275058010821,0
"2x4",0.852444826716894,0.0808317897080274,0.00243442500458843,0,0.0602697003780118,0.00401925819247832
"2x5",0.757983072236974,0.0413177439744921,0.0838772061853913,0.00787540202184723,0.10546656670479,0.00348000887650547
"2x6",0.532440434210492,0.00302424102821883,0.204350025387421,0.0429681420148306,0.16539567132441,0.0518214860346269
"2x7",0.949010493048496,0.00434448960288745,0,0,0.0466450173486168,0
"2x8",0.974271822717804,0.00060736566515267,0,0,0.015435297014094,0.00968551460294944
"2x9",0.899765869952911,0,0,0,0.100234130047089,0
"2x10",0.935116232151464,0.013038540005217,0,0,0.0515675267721113,0.000277701071208011
"2x11",0.964819523006826,0,0,0,0.0309734869021447,0.00420699009102906
"2x12",1,0,0,0,0,0
"2x13",0.247130745323109,0.0993049613837499,0.314588744552569,0.0754774637110816,0.149145399639902,0.114352685389589
"2x14",0.966350941105487,0.00399156270065391,0,0,0.0296574961938588,0
"2x15",0.967224622575497,0.0327753774245031,0,0,0,0
"2x16",0.746591367017107,0,0.102896853298131,0.0091101652723972,0.105188332315425,0.0362132820969394
"2x17",0.841759970074093,0.0112353572323924,0.00529753750148881,0,0.141707135192026,0
"2x18",0.744951035376394,0.000962887619549541,0.0693059268772347,0.0502681019550557,0.121534800681528,0.0129772474902386
"2x19",0.578886474495564,0.27666547895628,0.0255787540121191,0,0.0834079380137774,0.0354613545222596
"2x20",0.86002839670446,0,0.010582839925879,0.0191705808842714,0.0972431640539968,0.0129750184313926
"2x21",0.596041894463139,0.142238059816607,0,0.04357918306655,0.215298647077473,0.00284221557623183
"2x22",0.703510623393784,0.134737669554804,0,0.0473592256544258,0.0992175164844605,0.0151749649125257
"2x23",0.668605667999028,0.0686293369613185,0.113682701705797,0.0536185397440551,0.0676659116392399,0.0277978419505612
"2x24",0.723848130449584,0.0370197908275453,0.00166447933524745,0.00869220824510375,0.209455737385919,0.0193196537566003
